"date","visitors"
2025-01-01,9589.000000
2025-02-01,9522.000000
2025-03-01,17888.000000
2025-04-01,18567.000000
2025-05-01,82236.000000
2025-06-01,124964.000000
2025-07-01,148532.000000
2025-08-01,137428.000000
2025-09-01,98942.000000
2025-10-01,22910.000000
2025-11-01,10017.000000
2025-12-01,9691.000000
2026-01-01,9098.000000
2026-02-01,9629.000000
2026-03-01,18307.000000
