year,geo,Traveller_characteristics,value
1980,Old Crow,Residents of countries other than the United States of America entering Canada,0
1980,Old Crow,United States of America residents entering Canada,76
1980,Pleasant Camp,Canadian-resident visitors returning to Canada,9107
1980,Whitehorse,United States of America residents entering Canada,6894
1993,Beaver Creek,United States of America residents entering Canada,104587
1993,Dawson,Residents of countries other than the United States of America entering Canada,749
1993,Dawson,Canadian-resident visitors returning to Canada,874
1993,Beaver Creek,Canadian-resident visitors returning to Canada,16055
1993,Dawson,United States of America residents entering Canada,3512
1993,Beaver Creek,Residents of countries other than the United States of America entering Canada,7462
1999,Little Gold Creek,Canadian-resident visitors returning to Canada,4372
1999,Pleasant Camp,United States of America residents entering Canada,31228
1999,Fraser,Canadian-resident visitors returning to Canada,41171
1999,Old Crow,Canadian-resident visitors returning to Canada,46
1999,Fraser,Residents of countries other than the United States of America entering Canada,12745
1999,Whitehorse,United States of America residents entering Canada,3535
1999,Little Gold Creek,Residents of countries other than the United States of America entering Canada,5645
1999,Old Crow,Residents of countries other than the United States of America entering Canada,1
1999,Pleasant Camp,Canadian-resident visitors returning to Canada,8062
1999,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3860
1999,Whitehorse,Canadian-resident visitors returning to Canada,1014
1999,Whitehorse,Residents of countries other than the United States of America entering Canada,2919
2001,Dawson,Residents of countries other than the United States of America entering Canada,627
2001,Beaver Creek,United States of America residents entering Canada,91965
2001,Beaver Creek,Canadian-resident visitors returning to Canada,12110
2001,Dawson,Canadian-resident visitors returning to Canada,1038
2001,Beaver Creek,Residents of countries other than the United States of America entering Canada,6512
2001,Dawson,United States of America residents entering Canada,6998
2001,Little Gold Creek,United States of America residents entering Canada,14261
2001,Fraser,Canadian-resident visitors returning to Canada,34799
2001,Old Crow,United States of America residents entering Canada,34
2001,Fraser,Residents of countries other than the United States of America entering Canada,10168
2001,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2894
2001,Fraser,United States of America residents entering Canada,122661
2001,Little Gold Creek,Canadian-resident visitors returning to Canada,4290
2001,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4415
2001,Whitehorse,Residents of countries other than the United States of America entering Canada,4921
2001,Old Crow,Canadian-resident visitors returning to Canada,16
2001,Old Crow,Residents of countries other than the United States of America entering Canada,0
2001,Pleasant Camp,Canadian-resident visitors returning to Canada,8112
2001,Pleasant Camp,United States of America residents entering Canada,30116
2001,Whitehorse,Canadian-resident visitors returning to Canada,1158
2001,Whitehorse,United States of America residents entering Canada,3800
2006,Beaver Creek,Canadian-resident visitors returning to Canada,12158
2006,Dawson,Residents of countries other than the United States of America entering Canada,780
2006,Beaver Creek,United States of America residents entering Canada,74588
2006,Dawson,United States of America residents entering Canada,6272
2006,Beaver Creek,Residents of countries other than the United States of America entering Canada,4880
2006,Fraser,Canadian-resident visitors returning to Canada,35434
2006,Dawson,Canadian-resident visitors returning to Canada,1504
2006,Fraser,Residents of countries other than the United States of America entering Canada,16531
2006,Little Gold Creek,United States of America residents entering Canada,8313
2006,Pleasant Camp,United States of America residents entering Canada,25258
2006,Fraser,United States of America residents entering Canada,191765
2006,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2635
1993,Fraser,Canadian-resident visitors returning to Canada,35357
1993,Little Gold Creek,United States of America residents entering Canada,12684
1993,Fraser,Residents of countries other than the United States of America entering Canada,8408
1993,Old Crow,United States of America residents entering Canada,135
1993,Fraser,United States of America residents entering Canada,61967
1993,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2863
1993,Whitehorse,Residents of countries other than the United States of America entering Canada,176
1993,Little Gold Creek,Canadian-resident visitors returning to Canada,4328
1993,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3453
1993,Old Crow,Canadian-resident visitors returning to Canada,139
1993,Old Crow,Residents of countries other than the United States of America entering Canada,0
1993,Pleasant Camp,Canadian-resident visitors returning to Canada,11904
1993,Pleasant Camp,United States of America residents entering Canada,33497
1993,Whitehorse,Canadian-resident visitors returning to Canada,1188
1993,Whitehorse,United States of America residents entering Canada,2240
1994,Beaver Creek,Residents of countries other than the United States of America entering Canada,6779
1994,Dawson,United States of America residents entering Canada,2986
1994,Beaver Creek,Canadian-resident visitors returning to Canada,12956
1994,Dawson,Residents of countries other than the United States of America entering Canada,547
1994,Beaver Creek,United States of America residents entering Canada,97325
1994,Fraser,Canadian-resident visitors returning to Canada,35939
1994,Dawson,Canadian-resident visitors returning to Canada,586
1994,Fraser,Residents of countries other than the United States of America entering Canada,8618
1994,Fraser,United States of America residents entering Canada,71834
1994,Whitehorse,Residents of countries other than the United States of America entering Canada,154
1994,Little Gold Creek,United States of America residents entering Canada,16314
1994,Little Gold Creek,Canadian-resident visitors returning to Canada,4712
1994,Old Crow,Residents of countries other than the United States of America entering Canada,2
1994,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4949
1994,Pleasant Camp,Canadian-resident visitors returning to Canada,11849
1994,Old Crow,Canadian-resident visitors returning to Canada,123
1994,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3533
1994,Old Crow,United States of America residents entering Canada,195
1994,Pleasant Camp,United States of America residents entering Canada,30966
1994,Whitehorse,Canadian-resident visitors returning to Canada,1246
1994,Whitehorse,United States of America residents entering Canada,2399
1995,Beaver Creek,Residents of countries other than the United States of America entering Canada,7011
1995,Beaver Creek,Canadian-resident visitors returning to Canada,12481
1995,Fraser,Canadian-resident visitors returning to Canada,38875
1995,Dawson,Residents of countries other than the United States of America entering Canada,580
1995,Beaver Creek,United States of America residents entering Canada,102646
1995,Dawson,Canadian-resident visitors returning to Canada,225
1995,Fraser,Residents of countries other than the United States of America entering Canada,9508
1995,Dawson,United States of America residents entering Canada,3245
1995,Little Gold Creek,Canadian-resident visitors returning to Canada,4090
2006,Old Crow,United States of America residents entering Canada,43
2006,Whitehorse,Canadian-resident visitors returning to Canada,1599
2006,Little Gold Creek,Canadian-resident visitors returning to Canada,2482
2006,Whitehorse,Residents of countries other than the United States of America entering Canada,4300
2006,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3446
2006,Old Crow,Canadian-resident visitors returning to Canada,3
2006,Old Crow,Residents of countries other than the United States of America entering Canada,0
2006,Pleasant Camp,Canadian-resident visitors returning to Canada,10265
2006,Whitehorse,United States of America residents entering Canada,1196
2008,Beaver Creek,Residents of countries other than the United States of America entering Canada,4868
2008,Beaver Creek,Canadian-resident visitors returning to Canada,11014
2008,Dawson,Canadian-resident visitors returning to Canada,1149
2008,Beaver Creek,United States of America residents entering Canada,59636
2008,Little Gold Creek,United States of America residents entering Canada,7416
2008,Dawson,Residents of countries other than the United States of America entering Canada,911
2008,Fraser,Canadian-resident visitors returning to Canada,38895
2008,Dawson,United States of America residents entering Canada,6113
2008,Old Crow,United States of America residents entering Canada,25
2008,Fraser,Residents of countries other than the United States of America entering Canada,20189
2008,Fraser,United States of America residents entering Canada,200237
2008,Little Gold Creek,Canadian-resident visitors returning to Canada,2890
2008,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3293
2008,Old Crow,Canadian-resident visitors returning to Canada,3
2008,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4498
2008,Whitehorse,United States of America residents entering Canada,993
2008,Old Crow,Residents of countries other than the United States of America entering Canada,0
2008,Pleasant Camp,Canadian-resident visitors returning to Canada,9393
2008,Pleasant Camp,United States of America residents entering Canada,19699
2008,Whitehorse,Canadian-resident visitors returning to Canada,1043
2008,Whitehorse,Residents of countries other than the United States of America entering Canada,4302
2015,Beaver Creek,Canadian-resident visitors returning to Canada,8658
2015,Beaver Creek,United States of America residents entering Canada,51633
2015,Beaver Creek,Residents of countries other than the United States of America entering Canada,3572
2015,Dawson,Canadian-resident visitors returning to Canada,900
2015,Dawson,Residents of countries other than the United States of America entering Canada,594
2015,Fraser,United States of America residents entering Canada,208833
2015,Little Gold Creek,United States of America residents entering Canada,6950
2015,Dawson,United States of America residents entering Canada,6189
2015,Old Crow,United States of America residents entering Canada,18
2015,Little Gold Creek,Canadian-resident visitors returning to Canada,2366
2015,Pleasant Camp,United States of America residents entering Canada,18783
2015,Fraser,Canadian-resident visitors returning to Canada,43202
2015,Whitehorse,Canadian-resident visitors returning to Canada,672
2015,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4316
2015,Fraser,Residents of countries other than the United States of America entering Canada,28620
1995,Fraser,United States of America residents entering Canada,76379
1995,Pleasant Camp,United States of America residents entering Canada,31067
1995,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4679
1995,Little Gold Creek,United States of America residents entering Canada,15613
1995,Old Crow,Residents of countries other than the United States of America entering Canada,4
1995,Whitehorse,Canadian-resident visitors returning to Canada,1191
1995,Pleasant Camp,Canadian-resident visitors returning to Canada,11354
1995,Old Crow,Canadian-resident visitors returning to Canada,86
1995,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3814
1995,Whitehorse,Residents of countries other than the United States of America entering Canada,217
1995,Old Crow,United States of America residents entering Canada,137
1995,Whitehorse,United States of America residents entering Canada,2388
1996,Beaver Creek,Residents of countries other than the United States of America entering Canada,6770
1996,Dawson,Residents of countries other than the United States of America entering Canada,387
1996,Beaver Creek,Canadian-resident visitors returning to Canada,11784
1996,Dawson,United States of America residents entering Canada,4031
1996,Beaver Creek,United States of America residents entering Canada,91460
1996,Fraser,Canadian-resident visitors returning to Canada,41488
1996,Dawson,Canadian-resident visitors returning to Canada,340
1996,Fraser,Residents of countries other than the United States of America entering Canada,10052
1996,Little Gold Creek,Canadian-resident visitors returning to Canada,4084
1996,Pleasant Camp,United States of America residents entering Canada,28593
1996,Fraser,United States of America residents entering Canada,77812
1996,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3923
1996,Little Gold Creek,United States of America residents entering Canada,15127
1996,Whitehorse,Canadian-resident visitors returning to Canada,1838
1996,Little Gold Creek,Residents of countries other than the United States of America entering Canada,7159
1996,Whitehorse,Residents of countries other than the United States of America entering Canada,253
1996,Old Crow,Canadian-resident visitors returning to Canada,249
1996,Old Crow,Residents of countries other than the United States of America entering Canada,3
1996,Old Crow,United States of America residents entering Canada,414
1996,Pleasant Camp,Canadian-resident visitors returning to Canada,11359
1996,Whitehorse,United States of America residents entering Canada,1971
1997,Beaver Creek,Canadian-resident visitors returning to Canada,11497
1997,Dawson,United States of America residents entering Canada,4606
1997,Dawson,Residents of countries other than the United States of America entering Canada,154
1997,Dawson,Canadian-resident visitors returning to Canada,646
1997,Beaver Creek,Residents of countries other than the United States of America entering Canada,6856
1997,Fraser,Residents of countries other than the United States of America entering Canada,11902
1997,Fraser,Canadian-resident visitors returning to Canada,42717
1997,Fraser,United States of America residents entering Canada,92921
1997,Beaver Creek,United States of America residents entering Canada,89758
1997,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3400
1997,Pleasant Camp,United States of America residents entering Canada,29471
1997,Little Gold Creek,Canadian-resident visitors returning to Canada,3708
1997,Little Gold Creek,United States of America residents entering Canada,12423
1997,Whitehorse,Residents of countries other than the United States of America entering Canada,384
1997,Whitehorse,Canadian-resident visitors returning to Canada,1328
1997,Little Gold Creek,Residents of countries other than the United States of America entering Canada,5386
1997,Old Crow,United States of America residents entering Canada,270
1997,Old Crow,Canadian-resident visitors returning to Canada,139
1997,Old Crow,Residents of countries other than the United States of America entering Canada,1
1997,Pleasant Camp,Canadian-resident visitors returning to Canada,9698
1997,Whitehorse,United States of America residents entering Canada,3112
2010,Beaver Creek,United States of America residents entering Canada,67536
2010,Dawson,Canadian-resident visitors returning to Canada,633
2010,Dawson,Residents of countries other than the United States of America entering Canada,563
2010,Beaver Creek,Canadian-resident visitors returning to Canada,10834
2010,Dawson,United States of America residents entering Canada,2758
2010,Fraser,Canadian-resident visitors returning to Canada,45956
2010,Fraser,Residents of countries other than the United States of America entering Canada,20521
2010,Beaver Creek,Residents of countries other than the United States of America entering Canada,5313
2010,Whitehorse,Residents of countries other than the United States of America entering Canada,4392
2010,Fraser,United States of America residents entering Canada,200479
2010,Little Gold Creek,United States of America residents entering Canada,5218
2010,Little Gold Creek,Canadian-resident visitors returning to Canada,1899
2010,Old Crow,United States of America residents entering Canada,10
2010,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2991
2010,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2859
2010,Old Crow,Canadian-resident visitors returning to Canada,13
2010,Old Crow,Residents of countries other than the United States of America entering Canada,0
2010,Pleasant Camp,Canadian-resident visitors returning to Canada,8643
2010,Pleasant Camp,United States of America residents entering Canada,16355
2010,Whitehorse,Canadian-resident visitors returning to Canada,979
2010,Whitehorse,United States of America residents entering Canada,1122
2011,Beaver Creek,Residents of countries other than the United States of America entering Canada,4405
2011,Beaver Creek,Canadian-resident visitors returning to Canada,10458
2011,Dawson,United States of America residents entering Canada,202
2011,Dawson,Residents of countries other than the United States of America entering Canada,61
2011,Beaver Creek,United States of America residents entering Canada,54735
2011,Dawson,Canadian-resident visitors returning to Canada,152
2011,Fraser,Canadian-resident visitors returning to Canada,48010
2011,Old Crow,Residents of countries other than the United States of America entering Canada,0
2011,Fraser,United States of America residents entering Canada,201035
2011,Pleasant Camp,Canadian-resident visitors returning to Canada,8786
2011,Fraser,Residents of countries other than the United States of America entering Canada,20905
2011,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3113
2011,Little Gold Creek,Canadian-resident visitors returning to Canada,3098
2011,Whitehorse,Residents of countries other than the United States of America entering Canada,4274
2011,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4870
2015,Old Crow,Canadian-resident visitors returning to Canada,0
2015,Old Crow,Residents of countries other than the United States of America entering Canada,4
2015,Whitehorse,United States of America residents entering Canada,556
2015,Pleasant Camp,Canadian-resident visitors returning to Canada,12108
2015,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3705
2015,Whitehorse,Residents of countries other than the United States of America entering Canada,3441
2017,Beaver Creek,Canadian-resident visitors returning to Canada,11156
2017,Beaver Creek,United States of America residents entering Canada,68088
2017,Beaver Creek,Residents of countries other than the United States of America entering Canada,5061
2017,Dawson,Canadian-resident visitors returning to Canada,1011
2017,Dawson,Residents of countries other than the United States of America entering Canada,577
2017,Dawson,United States of America residents entering Canada,5795
2017,Little Gold Creek,United States of America residents entering Canada,6818
2017,Fraser,Canadian-resident visitors returning to Canada,52569
2017,Old Crow,United States of America residents entering Canada,10
2017,Fraser,Residents of countries other than the United States of America entering Canada,29520
2017,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3358
2017,Fraser,United States of America residents entering Canada,206772
2017,Little Gold Creek,Canadian-resident visitors returning to Canada,3455
2017,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4817
2017,Old Crow,Canadian-resident visitors returning to Canada,1
2017,Old Crow,Residents of countries other than the United States of America entering Canada,0
2017,Pleasant Camp,Canadian-resident visitors returning to Canada,13261
2017,Pleasant Camp,United States of America residents entering Canada,19950
2017,Whitehorse,Canadian-resident visitors returning to Canada,657
2017,Whitehorse,Residents of countries other than the United States of America entering Canada,3337
2017,Whitehorse,United States of America residents entering Canada,666
2024,Beaver Creek,Canadian-resident visitors returning to Canada,9476
2024,Beaver Creek,Residents of countries other than the United States of America entering Canada,2773
2024,Beaver Creek,United States of America residents entering Canada,57585
2024,Dawson,Canadian-resident visitors returning to Canada,616
2024,Fraser,United States of America residents entering Canada,271149
2024,Dawson,Residents of countries other than the United States of America entering Canada,368
2024,Little Gold Creek,Canadian-resident visitors returning to Canada,1257
2024,Dawson,United States of America residents entering Canada,5408
2024,Whitehorse,United States of America residents entering Canada,613
2024,Little Gold Creek,United States of America residents entering Canada,2477
2024,Fraser,Canadian-resident visitors returning to Canada,60569
2024,Old Crow,United States of America residents entering Canada,14
2024,Fraser,Residents of countries other than the United States of America entering Canada,45093
2024,Pleasant Camp,United States of America residents entering Canada,11809
2024,Little Gold Creek,Residents of countries other than the United States of America entering Canada,1117
2024,Pleasant Camp,Canadian-resident visitors returning to Canada,8883
2024,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1419
2024,Whitehorse,Canadian-resident visitors returning to Canada,815
2011,Little Gold Creek,United States of America residents entering Canada,11252
2011,Old Crow,Canadian-resident visitors returning to Canada,0
2011,Old Crow,United States of America residents entering Canada,6
2011,Pleasant Camp,United States of America residents entering Canada,15949
2011,Whitehorse,Canadian-resident visitors returning to Canada,1148
2011,Whitehorse,United States of America residents entering Canada,626
2012,Beaver Creek,Residents of countries other than the United States of America entering Canada,3774
2012,Fraser,Canadian-resident visitors returning to Canada,50037
2012,Beaver Creek,Canadian-resident visitors returning to Canada,9465
2012,Dawson,Residents of countries other than the United States of America entering Canada,31
2012,Beaver Creek,United States of America residents entering Canada,54655
2012,Fraser,Residents of countries other than the United States of America entering Canada,24497
2012,Dawson,Canadian-resident visitors returning to Canada,129
2012,Dawson,United States of America residents entering Canada,179
2012,Little Gold Creek,Canadian-resident visitors returning to Canada,2309
2012,Pleasant Camp,United States of America residents entering Canada,14752
2012,Fraser,United States of America residents entering Canada,211917
2012,Whitehorse,Canadian-resident visitors returning to Canada,861
2012,Little Gold Creek,United States of America residents entering Canada,7710
2012,Whitehorse,Residents of countries other than the United States of America entering Canada,3561
2012,Little Gold Creek,Residents of countries other than the United States of America entering Canada,3164
2012,Old Crow,Canadian-resident visitors returning to Canada,0
2012,Old Crow,Residents of countries other than the United States of America entering Canada,0
2012,Old Crow,United States of America residents entering Canada,9
2012,Pleasant Camp,Canadian-resident visitors returning to Canada,9247
2012,Whitehorse,United States of America residents entering Canada,731
2012,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2670
2013,Beaver Creek,Canadian-resident visitors returning to Canada,9076
2013,Dawson,United States of America residents entering Canada,124
2013,Dawson,Residents of countries other than the United States of America entering Canada,26
2013,Dawson,Canadian-resident visitors returning to Canada,76
2013,Beaver Creek,Residents of countries other than the United States of America entering Canada,3861
2013,Fraser,Residents of countries other than the United States of America entering Canada,26324
2013,Fraser,Canadian-resident visitors returning to Canada,54929
2013,Fraser,United States of America residents entering Canada,235584
2013,Beaver Creek,United States of America residents entering Canada,54951
2013,Pleasant Camp,Residents of countries other than the United States of America entering Canada,2580
2013,Pleasant Camp,United States of America residents entering Canada,14047
2013,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4503
2013,Little Gold Creek,Canadian-resident visitors returning to Canada,3989
2013,Old Crow,Residents of countries other than the United States of America entering Canada,6
2013,Whitehorse,Canadian-resident visitors returning to Canada,737
2013,Pleasant Camp,Canadian-resident visitors returning to Canada,9515
2013,Little Gold Creek,United States of America residents entering Canada,10728
2013,Whitehorse,United States of America residents entering Canada,589
2013,Whitehorse,Residents of countries other than the United States of America entering Canada,3441
1973,Beaver Creek,Residents of countries other than the United States of America entering Canada,310
1973,Beaver Creek,United States of America residents entering Canada,77684
1973,Beaver Creek,Canadian-resident visitors returning to Canada,5761
1973,Dawson,Canadian-resident visitors returning to Canada,4
1973,Dawson,Residents of countries other than the United States of America entering Canada,0
1973,Fraser,United States of America residents entering Canada,33278
1973,Little Gold Creek,United States of America residents entering Canada,9843
1973,Dawson,United States of America residents entering Canada,167
1973,Old Crow,United States of America residents entering Canada,0
1973,Little Gold Creek,Canadian-resident visitors returning to Canada,2597
1973,Pleasant Camp,United States of America residents entering Canada,25554
1973,Fraser,Canadian-resident visitors returning to Canada,3132
1973,Whitehorse,Canadian-resident visitors returning to Canada,1097
1973,Little Gold Creek,Residents of countries other than the United States of America entering Canada,184
1973,Fraser,Residents of countries other than the United States of America entering Canada,233
1973,Old Crow,Canadian-resident visitors returning to Canada,0
1973,Pleasant Camp,Canadian-resident visitors returning to Canada,5656
1973,Old Crow,Residents of countries other than the United States of America entering Canada,0
1973,Pleasant Camp,Residents of countries other than the United States of America entering Canada,135
1973,Whitehorse,United States of America residents entering Canada,5343
1973,Whitehorse,Residents of countries other than the United States of America entering Canada,7
1975,Beaver Creek,Canadian-resident visitors returning to Canada,5884
1975,Beaver Creek,United States of America residents entering Canada,67946
1975,Beaver Creek,Residents of countries other than the United States of America entering Canada,385
1975,Dawson,Canadian-resident visitors returning to Canada,33
1975,Dawson,Residents of countries other than the United States of America entering Canada,0
1975,Dawson,United States of America residents entering Canada,369
1975,Little Gold Creek,United States of America residents entering Canada,8744
1975,Fraser,Canadian-resident visitors returning to Canada,2984
1975,Old Crow,United States of America residents entering Canada,57
1975,Fraser,Residents of countries other than the United States of America entering Canada,531
1975,Pleasant Camp,Residents of countries other than the United States of America entering Canada,254
1975,Fraser,United States of America residents entering Canada,37717
1975,Little Gold Creek,Canadian-resident visitors returning to Canada,2869
1975,Little Gold Creek,Residents of countries other than the United States of America entering Canada,341
1975,Old Crow,Canadian-resident visitors returning to Canada,91
1975,Old Crow,Residents of countries other than the United States of America entering Canada,0
1975,Whitehorse,United States of America residents entering Canada,7889
1975,Pleasant Camp,Canadian-resident visitors returning to Canada,5808
1975,Pleasant Camp,United States of America residents entering Canada,34565
1975,Whitehorse,Canadian-resident visitors returning to Canada,1231
1975,Whitehorse,Residents of countries other than the United States of America entering Canada,198
1982,Beaver Creek,Canadian-resident visitors returning to Canada,9534
1982,Beaver Creek,Residents of countries other than the United States of America entering Canada,2740
1982,Beaver Creek,United States of America residents entering Canada,75897
2024,Whitehorse,Residents of countries other than the United States of America entering Canada,64
2013,Old Crow,Canadian-resident visitors returning to Canada,6
2013,Old Crow,United States of America residents entering Canada,10
2022,Old Crow,United States of America residents entering Canada,1
2022,Pleasant Camp,Canadian-resident visitors returning to Canada,10303
2022,Whitehorse,United States of America residents entering Canada,520
1982,Dawson,Canadian-resident visitors returning to Canada,67
1982,Fraser,United States of America residents entering Canada,38311
1982,Dawson,Residents of countries other than the United States of America entering Canada,5
1982,Little Gold Creek,Canadian-resident visitors returning to Canada,3158
1982,Dawson,United States of America residents entering Canada,506
1982,Old Crow,Canadian-resident visitors returning to Canada,32
1982,Little Gold Creek,United States of America residents entering Canada,8474
1982,Whitehorse,United States of America residents entering Canada,5873
1982,Fraser,Canadian-resident visitors returning to Canada,20623
1982,Old Crow,United States of America residents entering Canada,118
1982,Fraser,Residents of countries other than the United States of America entering Canada,2083
1982,Pleasant Camp,United States of America residents entering Canada,25998
1982,Little Gold Creek,Residents of countries other than the United States of America entering Canada,1252
1982,Whitehorse,Canadian-resident visitors returning to Canada,1824
1982,Old Crow,Residents of countries other than the United States of America entering Canada,6
1982,Pleasant Camp,Canadian-resident visitors returning to Canada,8844
1982,Pleasant Camp,Residents of countries other than the United States of America entering Canada,563
1982,Whitehorse,Residents of countries other than the United States of America entering Canada,246
1984,Dawson,Residents of countries other than the United States of America entering Canada,10
1984,Beaver Creek,Canadian-resident visitors returning to Canada,9573
1984,Beaver Creek,United States of America residents entering Canada,103624
1984,Dawson,Canadian-resident visitors returning to Canada,136
1984,Dawson,United States of America residents entering Canada,652
1984,Beaver Creek,Residents of countries other than the United States of America entering Canada,2908
1984,Fraser,Residents of countries other than the United States of America entering Canada,2216
1984,Fraser,Canadian-resident visitors returning to Canada,22729
1984,Little Gold Creek,Canadian-resident visitors returning to Canada,3237
1984,Little Gold Creek,United States of America residents entering Canada,9331
1984,Whitehorse,Residents of countries other than the United States of America entering Canada,115
1984,Fraser,United States of America residents entering Canada,41851
1984,Old Crow,United States of America residents entering Canada,165
1984,Little Gold Creek,Residents of countries other than the United States of America entering Canada,345
1984,Pleasant Camp,Residents of countries other than the United States of America entering Canada,578
1984,Old Crow,Canadian-resident visitors returning to Canada,88
1984,Old Crow,Residents of countries other than the United States of America entering Canada,0
1984,Pleasant Camp,Canadian-resident visitors returning to Canada,7849
1984,Pleasant Camp,United States of America residents entering Canada,27923
1984,Whitehorse,Canadian-resident visitors returning to Canada,1254
1984,Whitehorse,United States of America residents entering Canada,6347
1989,Beaver Creek,Canadian-resident visitors returning to Canada,13481
1989,Dawson,Canadian-resident visitors returning to Canada,665
1989,Dawson,Residents of countries other than the United States of America entering Canada,282
1989,Dawson,United States of America residents entering Canada,2778
1989,Beaver Creek,Residents of countries other than the United States of America entering Canada,4379
1989,Fraser,United States of America residents entering Canada,49216
1989,Fraser,Canadian-resident visitors returning to Canada,34091
1989,Fraser,Residents of countries other than the United States of America entering Canada,4394
1989,Beaver Creek,United States of America residents entering Canada,99286
1989,Little Gold Creek,Canadian-resident visitors returning to Canada,4197
1989,Pleasant Camp,United States of America residents entering Canada,27681
1989,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1274
1989,Little Gold Creek,United States of America residents entering Canada,11496
1989,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2515
1989,Whitehorse,Canadian-resident visitors returning to Canada,1522
1989,Whitehorse,Residents of countries other than the United States of America entering Canada,84
1989,Old Crow,United States of America residents entering Canada,374
1989,Old Crow,Canadian-resident visitors returning to Canada,104
1989,Old Crow,Residents of countries other than the United States of America entering Canada,6
1989,Pleasant Camp,Canadian-resident visitors returning to Canada,10608
1989,Whitehorse,United States of America residents entering Canada,3015
1991,Beaver Creek,Residents of countries other than the United States of America entering Canada,5215
1991,Dawson,Canadian-resident visitors returning to Canada,689
1991,Beaver Creek,Canadian-resident visitors returning to Canada,14375
1991,Beaver Creek,United States of America residents entering Canada,97343
1991,Dawson,Residents of countries other than the United States of America entering Canada,378
1991,Fraser,Canadian-resident visitors returning to Canada,31952
1991,Little Gold Creek,United States of America residents entering Canada,11832
1991,Dawson,United States of America residents entering Canada,3560
1991,Old Crow,United States of America residents entering Canada,127
1991,Fraser,Residents of countries other than the United States of America entering Canada,5396
1991,Little Gold Creek,Canadian-resident visitors returning to Canada,3739
1991,Fraser,United States of America residents entering Canada,48012
1991,Old Crow,Canadian-resident visitors returning to Canada,59
1991,Little Gold Creek,Residents of countries other than the United States of America entering Canada,2824
1991,Whitehorse,United States of America residents entering Canada,2209
1991,Old Crow,Residents of countries other than the United States of America entering Canada,2
1991,Pleasant Camp,Canadian-resident visitors returning to Canada,11704
1991,Pleasant Camp,Residents of countries other than the United States of America entering Canada,1904
1991,Pleasant Camp,United States of America residents entering Canada,31557
1991,Whitehorse,Canadian-resident visitors returning to Canada,2166
1991,Whitehorse,Residents of countries other than the United States of America entering Canada,168
1998,Beaver Creek,Canadian-resident visitors returning to Canada,12759
1998,Beaver Creek,Residents of countries other than the United States of America entering Canada,7809
1998,Beaver Creek,United States of America residents entering Canada,100016
1998,Dawson,Canadian-resident visitors returning to Canada,540
1998,Little Gold Creek,United States of America residents entering Canada,14371
1998,Dawson,Residents of countries other than the United States of America entering Canada,466
1998,Fraser,United States of America residents entering Canada,107446
1998,Dawson,United States of America residents entering Canada,6168
1998,Little Gold Creek,Canadian-resident visitors returning to Canada,4693
1998,Old Crow,United States of America residents entering Canada,168
1998,Little Gold Creek,Residents of countries other than the United States of America entering Canada,4918
1998,Fraser,Canadian-resident visitors returning to Canada,46739
1998,Old Crow,Canadian-resident visitors returning to Canada,75
1998,Pleasant Camp,United States of America residents entering Canada,31298
1998,Old Crow,Residents of countries other than the United States of America entering Canada,3
1998,Fraser,Residents of countries other than the United States of America entering Canada,11787
1998,Whitehorse,United States of America residents entering Canada,4897
1998,Whitehorse,Canadian-resident visitors returning to Canada,1650
1998,Pleasant Camp,Canadian-resident visitors returning to Canada,9462
1998,Pleasant Camp,Residents of countries other than the United States of America entering Canada,3911
1998,Whitehorse,Residents of countries other than the United States of America entering Canada,5306
2000,Beaver Creek,Canadian-resident visitors returning to Canada,12407
2000,Beaver Creek,Residents of countries other than the United States of America entering Canada,7875
2000,Beaver Creek,United States of America residents entering Canada,94449
2000,Dawson,Canadian-resident visitors returning to Canada,1041
2000,Dawson,Residents of countries other than the United States of America entering Canada,511
2000,Little Gold Creek,United States of America residents entering Canada,12120
2000,Dawson,United States of America residents entering Canada,7272
2000,Fraser,Canadian-resident visitors returning to Canada,37666
