year,geo,Traveller_characteristics,value
1986,Old Crow,Residents of countries other than the United States of America entering Canada,0
1986,Little Gold Creek,Canadian-resident visitors returning to Canada,2623
1986,Pleasant Camp,Canadian-resident visitors returning to Canada,7169
1986,Little Gold Creek,Residents of countries other than the United States of America entering Canada,1325
1986,Pleasant Camp,Residents of countries other than the United States of America entering Canada,719
1986,Little Gold Creek,United States of America residents entering Canada,12355
1986,Old Crow,Canadian-resident visitors returning to Canada,140
1986,Old Crow,United States of America residents entering Canada,161
1986,Pleasant Camp,United States of America residents entering Canada,24333
1986,Whitehorse,Canadian-resident visitors returning to Canada,914
1986,Whitehorse,United States of America residents entering Canada,4885
1987,Beaver Creek,Residents of countries other than the United States of America entering Canada,3047
1987,Beaver Creek,Canadian-resident visitors returning to Canada,10664
1987,Dawson,Residents of countries other than the United States of America entering Canada,107
1987,Dawson,United States of America residents entering Canada,1288
1987,Beaver Creek,United States of America residents entering Canada,114628
1987,Dawson,Canadian-resident visitors returning to Canada,285
1987,Fraser,Canadian-resident visitors returning to Canada,35436
1987,Fraser,Residents of countries other than the United States of America entering Canada,4051
1987,Little Gold Creek,Canadian-resident visitors returning to Canada,4558
1987,Fraser,United States of America residents entering Canada,64122
1987,Pleasant Camp,United States of America residents entering Canada,24472
1987,Little Gold Creek,Residents of countries other than the United States of America entering Canada,1902
1987,Little Gold Creek,United States of America residents entering Canada,13893
1987,Old Crow,Residents of countries other than the United States of America entering Canada,5
1987,Whitehorse,Canadian-resident visitors returning to Canada,1099
1987,Pleasant Camp,Canadian-resident visitors returning to Canada,7744
1987,Old Crow,Canadian-resident visitors returning to Canada,96
1987,Pleasant Camp,Residents of countries other than the United States of America entering Canada,874
1987,Whitehorse,Residents of countries other than the United States of America entering Canada,77
1987,Old Crow,United States of America residents entering Canada,197
1987,Whitehorse,United States of America residents entering Canada,3324
1988,Beaver Creek,Canadian-resident visitors returning to Canada,10542
1988,Dawson,Residents of countries other than the United States of America entering Canada,175
1988,Dawson,Canadian-resident visitors returning to Canada,491
1988,Dawson,United States of America residents entering Canada,2625
1988,Beaver Creek,Residents of countries other than the United States of America entering Canada,3736
1988,Fraser,Canadian-resident visitors returning to Canada,32836
1981,Dawson,United States of America residents entering Canada,576
1981,Beaver Creek,Residents of countries other than the United States of America entering Canada,3334
1981,Dawson,Canadian-resident visitors returning to Canada,145
1981,Fraser,Canadian-resident visitors returning to Canada,22981
1981,Fraser,Residents of countries other than the United States of America entering Canada,3067
1981,Little Gold Creek,United States of America residents entering Canada,8657
1981,Fraser,United States of America residents entering Canada,39368
1981,Old Crow,United States of America residents entering Canada,132
1981,Pleasant Camp,Residents of countries other than the United States of America entering Canada,694
1981,Pleasant Camp,United States of America residents entering Canada,24814
