year,geo,Traveller_type,value
2006,Old Crow,Excursionists (same-day),24
2006,Whitehorse,Excursionists (same-day),339
2006,Old Crow,Tourists (overnight),22
2006,Whitehorse,Tourists (overnight),6756
2008,Dawson,Tourists (overnight),6527
2008,Fraser,Excursionists (same-day),167462
2008,Beaver Creek,Tourists (overnight),66938
2008,Beaver Creek,Excursionists (same-day),8580
2008,Dawson,Excursionists (same-day),1646
2008,Fraser,Tourists (overnight),91859
2008,Pleasant Camp,Tourists (overnight),16889
2008,Little Gold Creek,Excursionists (same-day),631
2008,Little Gold Creek,Tourists (overnight),14173
2008,Old Crow,Excursionists (same-day),22
2008,Old Crow,Tourists (overnight),6
2008,Pleasant Camp,Excursionists (same-day),15496
2008,Whitehorse,Excursionists (same-day),202
2008,Whitehorse,Tourists (overnight),6136
2015,Fraser,Excursionists (same-day),203015
2015,Beaver Creek,Excursionists (same-day),5648
2015,Little Gold Creek,Excursionists (same-day),795
2015,Fraser,Tourists (overnight),77640
2015,Little Gold Creek,Tourists (overnight),12837
2015,Beaver Creek,Tourists (overnight),58215
2015,Old Crow,Excursionists (same-day),5
2015,Old Crow,Tourists (overnight),17
2015,Dawson,Excursionists (same-day),1392
2015,Pleasant Camp,Excursionists (same-day),13815
2015,Dawson,Tourists (overnight),6291
2015,Pleasant Camp,Tourists (overnight),20781
2015,Whitehorse,Excursionists (same-day),191
2015,Whitehorse,Tourists (overnight),4478
2017,Dawson,Tourists (overnight),6100
2017,Beaver Creek,Tourists (overnight),77158
2017,Fraser,Excursionists (same-day),217227
2017,Beaver Creek,Excursionists (same-day),7147
2017,Fraser,Tourists (overnight),71634
2017,Dawson,Excursionists (same-day),1283
2017,Little Gold Creek,Excursionists (same-day),1167
2017,Pleasant Camp,Tourists (overnight),23279
2017,Little Gold Creek,Tourists (overnight),13923
2017,Old Crow,Excursionists (same-day),3
2017,Old Crow,Tourists (overnight),8
2017,Pleasant Camp,Excursionists (same-day),13290
2017,Whitehorse,Excursionists (same-day),303
2017,Whitehorse,Tourists (overnight),4357
2024,Beaver Creek,Tourists (overnight),64512
2024,Fraser,Excursionists (same-day),345481
2024,Dawson,Excursionists (same-day),32
2024,Beaver Creek,Excursionists (same-day),5322
2024,Dawson,Tourists (overnight),6360
2024,Little Gold Creek,Excursionists (same-day),4766
2024,Fraser,Tourists (overnight),31330
2024,Old Crow,Excursionists (same-day),3
2024,Little Gold Creek,Tourists (overnight),85
2024,Old Crow,Tourists (overnight),11
2024,Pleasant Camp,Excursionists (same-day),19299
2024,Pleasant Camp,Tourists (overnight),2812
2024,Whitehorse,Excursionists (same-day),317
2024,Whitehorse,Tourists (overnight),1175
1991,Old Crow,Excursionists (same-day),87
1991,Old Crow,Tourists (overnight),101
1991,Pleasant Camp,Excursionists (same-day),25784
1991,Pleasant Camp,Tourists (overnight),19381
1991,Whitehorse,Excursionists (same-day),433
1991,Whitehorse,Tourists (overnight),4110
1998,Beaver Creek,Excursionists (same-day),8822
1998,Fraser,Excursionists (same-day),65594
1998,Beaver Creek,Tourists (overnight),111762
1998,Fraser,Tourists (overnight),100378
1998,Dawson,Excursionists (same-day),2019
1998,Little Gold Creek,Excursionists (same-day),1906
1998,Dawson,Tourists (overnight),5155
1998,Old Crow,Tourists (overnight),157
1998,Little Gold Creek,Tourists (overnight),22076
1998,Pleasant Camp,Excursionists (same-day),21826
1998,Old Crow,Excursionists (same-day),89
1998,Pleasant Camp,Tourists (overnight),22845
1998,Whitehorse,Excursionists (same-day),2416
1998,Whitehorse,Tourists (overnight),9437
2000,Dawson,Tourists (overnight),7218
2000,Fraser,Excursionists (same-day),71785
2000,Beaver Creek,Tourists (overnight),106059
2000,Beaver Creek,Excursionists (same-day),8672
2000,Dawson,Excursionists (same-day),1606
2000,Fraser,Tourists (overnight),100631
2000,Pleasant Camp,Tourists (overnight),21794
2000,Little Gold Creek,Excursionists (same-day),3713
2000,Little Gold Creek,Tourists (overnight),20167
2000,Old Crow,Excursionists (same-day),53
2000,Old Crow,Tourists (overnight),40
2000,Pleasant Camp,Excursionists (same-day),19711
2000,Whitehorse,Excursionists (same-day),1873
2000,Whitehorse,Tourists (overnight),8135
2007,Fraser,Excursionists (same-day),151589
2007,Beaver Creek,Excursionists (same-day),8597
2007,Little Gold Creek,Excursionists (same-day),838
2007,Fraser,Tourists (overnight),110906
2007,Old Crow,Excursionists (same-day),15
2007,Beaver Creek,Tourists (overnight),84362
2007,Little Gold Creek,Tourists (overnight),15124
2007,Dawson,Excursionists (same-day),1753
2007,Old Crow,Tourists (overnight),8
2007,Dawson,Tourists (overnight),7040
2007,Pleasant Camp,Excursionists (same-day),17400
2007,Pleasant Camp,Tourists (overnight),19203
2007,Whitehorse,Excursionists (same-day),284
2007,Whitehorse,Tourists (overnight),5955
2009,Dawson,Excursionists (same-day),627
2009,Beaver Creek,Tourists (overnight),65016
2009,Fraser,Tourists (overnight),76161
2009,Beaver Creek,Excursionists (same-day),7864
2009,Dawson,Tourists (overnight),3127
2009,Pleasant Camp,Excursionists (same-day),11873
2009,Whitehorse,Tourists (overnight),5618
2009,Little Gold Creek,Excursionists (same-day),496
2009,Fraser,Excursionists (same-day),157813
2009,Pleasant Camp,Tourists (overnight),16873
2009,Little Gold Creek,Tourists (overnight),12622
2009,Old Crow,Excursionists (same-day),23
2009,Old Crow,Tourists (overnight),18
2009,Whitehorse,Excursionists (same-day),217
2014,Beaver Creek,Excursionists (same-day),6180
2014,Fraser,Excursionists (same-day),208062
2014,Beaver Creek,Tourists (overnight),58767
2014,Fraser,Tourists (overnight),86305
2014,Dawson,Excursionists (same-day),900
2014,Little Gold Creek,Excursionists (same-day),651
2014,Dawson,Tourists (overnight),6110
2014,Pleasant Camp,Excursionists (same-day),12279
2014,Whitehorse,Excursionists (same-day),127
2014,Little Gold Creek,Tourists (overnight),11957
2014,Pleasant Camp,Tourists (overnight),17482
2014,Old Crow,Excursionists (same-day),5
2014,Whitehorse,Tourists (overnight),5048
2014,Old Crow,Tourists (overnight),13
2016,Beaver Creek,Tourists (overnight),66227
2016,Beaver Creek,Excursionists (same-day),6063
2016,Dawson,Excursionists (same-day),1131
2016,Fraser,Excursionists (same-day),203095
2016,Dawson,Tourists (overnight),5463
2016,Fraser,Tourists (overnight),79357
2016,Little Gold Creek,Excursionists (same-day),835
2016,Little Gold Creek,Tourists (overnight),14054
2016,Old Crow,Excursionists (same-day),2
2016,Old Crow,Tourists (overnight),4
2016,Pleasant Camp,Excursionists (same-day),14153
2016,Pleasant Camp,Tourists (overnight),24060
2016,Whitehorse,Excursionists (same-day),172
2016,Whitehorse,Tourists (overnight),4628
2018,Dawson,Excursionists (same-day),796
2018,Fraser,Tourists (overnight),88683
2018,Beaver Creek,Tourists (overnight),78433
2018,Beaver Creek,Excursionists (same-day),8346
2018,Dawson,Tourists (overnight),6418
2018,Whitehorse,Tourists (overnight),4438
2018,Pleasant Camp,Excursionists (same-day),11932
2018,Little Gold Creek,Excursionists (same-day),1122
2018,Fraser,Excursionists (same-day),262737
2018,Little Gold Creek,Tourists (overnight),14097
2018,Pleasant Camp,Tourists (overnight),24586
2018,Old Crow,Excursionists (same-day),6
2018,Old Crow,Tourists (overnight),4
2018,Whitehorse,Excursionists (same-day),190
2023,Fraser,Excursionists (same-day),298896
2023,Beaver Creek,Excursionists (same-day),10010
2023,Little Gold Creek,Excursionists (same-day),10036
2023,Fraser,Tourists (overnight),35600
2023,Little Gold Creek,Tourists (overnight),26
2023,Beaver Creek,Tourists (overnight),56894
2023,Old Crow,Excursionists (same-day),6
2023,Pleasant Camp,Excursionists (same-day),19041
2023,Old Crow,Tourists (overnight),13
2023,Dawson,Excursionists (same-day),50
2023,Pleasant Camp,Tourists (overnight),13752
2023,Dawson,Tourists (overnight),6034
2023,Whitehorse,Excursionists (same-day),376
2023,Whitehorse,Tourists (overnight),3289
1977,Pleasant Camp,Excursionists (same-day),20833
1977,Fraser,Tourists (overnight),50754
1977,Beaver Creek,Excursionists (same-day),1611
1977,Dawson,Excursionists (same-day),69
1977,Pleasant Camp,Tourists (overnight),10266
1977,Whitehorse,Excursionists (same-day),221
1977,Beaver Creek,Tourists (overnight),65954
1977,Dawson,Tourists (overnight),463
1977,Little Gold Creek,Excursionists (same-day),745
1977,Whitehorse,Tourists (overnight),7727
1977,Little Gold Creek,Tourists (overnight),11227
1977,Fraser,Excursionists (same-day),387
1977,Old Crow,Excursionists (same-day),19
1977,Old Crow,Tourists (overnight),108
1978,Beaver Creek,Excursionists (same-day),3984
1978,Little Gold Creek,Tourists (overnight),14309
1978,Beaver Creek,Tourists (overnight),85495
1978,Dawson,Excursionists (same-day),98
1978,Fraser,Tourists (overnight),42136
1978,Old Crow,Tourists (overnight),205
1978,Little Gold Creek,Excursionists (same-day),805
1978,Dawson,Tourists (overnight),616
1978,Whitehorse,Excursionists (same-day),228
1978,Pleasant Camp,Excursionists (same-day),33673
1978,Old Crow,Excursionists (same-day),15
1978,Fraser,Excursionists (same-day),364
1978,Whitehorse,Tourists (overnight),10776
1978,Pleasant Camp,Tourists (overnight),6825
1979,Dawson,Excursionists (same-day),70
1979,Beaver Creek,Tourists (overnight),78192
1979,Beaver Creek,Excursionists (same-day),4933
1979,Little Gold Creek,Excursionists (same-day),1201
1979,Fraser,Excursionists (same-day),20855
1979,Little Gold Creek,Tourists (overnight),10462
1979,Dawson,Tourists (overnight),654
1979,Old Crow,Excursionists (same-day),3
1979,Fraser,Tourists (overnight),53194
1979,Old Crow,Tourists (overnight),196
1979,Whitehorse,Excursionists (same-day),94
1979,Pleasant Camp,Excursionists (same-day),7189
1979,Pleasant Camp,Tourists (overnight),22213
1979,Whitehorse,Tourists (overnight),10435
1980,Fraser,Tourists (overnight),34921
1980,Beaver Creek,Tourists (overnight),59793
1980,Fraser,Excursionists (same-day),21687
1980,Beaver Creek,Excursionists (same-day),4477
1980,Pleasant Camp,Excursionists (same-day),13810
1980,Dawson,Excursionists (same-day),80
1980,Little Gold Creek,Excursionists (same-day),2444
1980,Dawson,Tourists (overnight),786
1980,Pleasant Camp,Tourists (overnight),18118
1980,Whitehorse,Excursionists (same-day),118
1980,Little Gold Creek,Tourists (overnight),10450
1980,Whitehorse,Tourists (overnight),8707
1980,Old Crow,Excursionists (same-day),9
1980,Old Crow,Tourists (overnight),152
1993,Dawson,Excursionists (same-day),1146
1993,Beaver Creek,Excursionists (same-day),9489
1993,Fraser,Tourists (overnight),69374
1993,Beaver Creek,Tourists (overnight),118615
1993,Dawson,Tourists (overnight),3989
1993,Little Gold Creek,Excursionists (same-day),835
1993,Whitehorse,Tourists (overnight),2983
1993,Pleasant Camp,Excursionists (same-day),27452
1993,Fraser,Excursionists (same-day),36358
1993,Little Gold Creek,Tourists (overnight),19630
1993,Pleasant Camp,Tourists (overnight),20812
1993,Old Crow,Excursionists (same-day),57
1993,Old Crow,Tourists (overnight),217
1993,Whitehorse,Excursionists (same-day),621
1994,Fraser,Tourists (overnight),77719
1994,Old Crow,Tourists (overnight),174
1994,Beaver Creek,Excursionists (same-day),6728
1994,Dawson,Excursionists (same-day),1012
1994,Whitehorse,Excursionists (same-day),722
1994,Pleasant Camp,Excursionists (same-day),22184
1994,Beaver Creek,Tourists (overnight),110332
1994,Dawson,Tourists (overnight),3107
1994,Whitehorse,Tourists (overnight),3077
1994,Pleasant Camp,Tourists (overnight),24164
1994,Little Gold Creek,Excursionists (same-day),1962
1994,Fraser,Excursionists (same-day),38672
1994,Little Gold Creek,Tourists (overnight),24013
1994,Old Crow,Excursionists (same-day),146
1995,Little Gold Creek,Tourists (overnight),23689
1995,Beaver Creek,Excursionists (same-day),6571
1995,Beaver Creek,Tourists (overnight),115567
1995,Dawson,Excursionists (same-day),729
1995,Old Crow,Excursionists (same-day),69
1995,Fraser,Tourists (overnight),72436
1995,Little Gold Creek,Excursionists (same-day),693
1995,Dawson,Tourists (overnight),3321
1995,Old Crow,Tourists (overnight),158
1995,Whitehorse,Excursionists (same-day),605
1995,Pleasant Camp,Excursionists (same-day),20047
1995,Fraser,Excursionists (same-day),52326
1995,Pleasant Camp,Tourists (overnight),26188
1995,Whitehorse,Tourists (overnight),3191
1996,Dawson,Excursionists (same-day),1023
1996,Beaver Creek,Tourists (overnight),101106
1996,Little Gold Creek,Excursionists (same-day),1080
1996,Beaver Creek,Excursionists (same-day),8908
1996,Fraser,Excursionists (same-day),50936
1996,Dawson,Tourists (overnight),3735
1996,Little Gold Creek,Tourists (overnight),25290
1996,Whitehorse,Excursionists (same-day),931
1996,Fraser,Tourists (overnight),78416
1996,Whitehorse,Tourists (overnight),3131
1996,Old Crow,Excursionists (same-day),338
1996,Pleasant Camp,Tourists (overnight),25267
1996,Old Crow,Tourists (overnight),328
1996,Pleasant Camp,Excursionists (same-day),18608
1997,Fraser,Tourists (overnight),92946
1997,Beaver Creek,Tourists (overnight),100404
1997,Beaver Creek,Excursionists (same-day),7707
1997,Fraser,Excursionists (same-day),54594
1997,Pleasant Camp,Excursionists (same-day),23714
1997,Little Gold Creek,Excursionists (same-day),738
1997,Dawson,Excursionists (same-day),1146
1997,Little Gold Creek,Tourists (overnight),20779
1997,Pleasant Camp,Tourists (overnight),18855
1997,Old Crow,Excursionists (same-day),227
1997,Dawson,Tourists (overnight),4260
1997,Old Crow,Tourists (overnight),183
1997,Whitehorse,Tourists (overnight),3455
1997,Whitehorse,Excursionists (same-day),1369
2010,Dawson,Excursionists (same-day),1119
2010,Beaver Creek,Excursionists (same-day),6589
2010,Beaver Creek,Tourists (overnight),77094
2010,Fraser,Tourists (overnight),83696
2010,Dawson,Tourists (overnight),2835
2010,Little Gold Creek,Excursionists (same-day),913
2010,Pleasant Camp,Excursionists (same-day),12628
2010,Whitehorse,Excursionists (same-day),191
2010,Fraser,Excursionists (same-day),183260
2010,Little Gold Creek,Tourists (overnight),9195
2010,Pleasant Camp,Tourists (overnight),15229
2010,Whitehorse,Tourists (overnight),6302
2010,Old Crow,Excursionists (same-day),9
2010,Old Crow,Tourists (overnight),14
2011,Beaver Creek,Excursionists (same-day),7958
2011,Fraser,Tourists (overnight),84674
2011,Old Crow,Tourists (overnight),2
2011,Dawson,Excursionists (same-day),33
2011,Beaver Creek,Tourists (overnight),61640
2011,Whitehorse,Excursionists (same-day),132
2011,Pleasant Camp,Excursionists (same-day),11615
2011,Dawson,Tourists (overnight),382
2011,Little Gold Creek,Excursionists (same-day),659
2011,Whitehorse,Tourists (overnight),5916
2011,Pleasant Camp,Tourists (overnight),16233
2011,Fraser,Excursionists (same-day),185276
2011,Little Gold Creek,Tourists (overnight),18561
2011,Old Crow,Excursionists (same-day),4
2012,Beaver Creek,Excursionists (same-day),8156
2012,Little Gold Creek,Tourists (overnight),12859
1972,Beaver Creek,Excursionists (same-day),3252
1972,Fraser,Excursionists (same-day),47
1972,Beaver Creek,Tourists (overnight),70980
1972,Fraser,Tourists (overnight),28768
1972,Dawson,Excursionists (same-day),18
1972,Little Gold Creek,Excursionists (same-day),726
1972,Dawson,Tourists (overnight),155
1972,Pleasant Camp,Excursionists (same-day),15587
1972,Whitehorse,Excursionists (same-day),493
1972,Little Gold Creek,Tourists (overnight),9232
1972,Pleasant Camp,Tourists (overnight),12106
1972,Old Crow,Excursionists (same-day),36
1972,Whitehorse,Tourists (overnight),6770
1972,Old Crow,Tourists (overnight),127
1985,Dawson,Excursionists (same-day),2190
1985,Beaver Creek,Excursionists (same-day),8173
1985,Fraser,Tourists (overnight),48251
1985,Beaver Creek,Tourists (overnight),117676
1985,Dawson,Tourists (overnight),1598
1985,Little Gold Creek,Excursionists (same-day),996
1985,Whitehorse,Excursionists (same-day),222
1985,Pleasant Camp,Excursionists (same-day),21158
1985,Fraser,Excursionists (same-day),32768
1985,Little Gold Creek,Tourists (overnight),13063
1985,Whitehorse,Tourists (overnight),7172
1985,Pleasant Camp,Tourists (overnight),11454
1985,Old Crow,Excursionists (same-day),28
1985,Old Crow,Tourists (overnight),227
1986,Beaver Creek,Excursionists (same-day),7464
1986,Little Gold Creek,Tourists (overnight),15200
1986,Fraser,Tourists (overnight),53881
1986,Dawson,Excursionists (same-day),2135
1986,Beaver Creek,Tourists (overnight),123476
1986,Old Crow,Tourists (overnight),291
1986,Whitehorse,Excursionists (same-day),275
1986,Dawson,Tourists (overnight),1238
1986,Little Gold Creek,Excursionists (same-day),1103
1986,Pleasant Camp,Excursionists (same-day),11489
1986,Whitehorse,Tourists (overnight),5665
1986,Fraser,Excursionists (same-day),44431
1986,Old Crow,Excursionists (same-day),10
1986,Pleasant Camp,Tourists (overnight),20732
1987,Beaver Creek,Excursionists (same-day),6074
1987,Beaver Creek,Tourists (overnight),122265
1987,Dawson,Excursionists (same-day),90
1987,Little Gold Creek,Tourists (overnight),19435
1987,Dawson,Tourists (overnight),1590
1987,Little Gold Creek,Excursionists (same-day),918
1987,Fraser,Excursionists (same-day),43967
1987,Old Crow,Excursionists (same-day),37
1987,Whitehorse,Excursionists (same-day),143
1987,Old Crow,Tourists (overnight),261
1987,Fraser,Tourists (overnight),59642
1987,Pleasant Camp,Excursionists (same-day),14228
1987,Whitehorse,Tourists (overnight),4357
1987,Pleasant Camp,Tourists (overnight),18862
1988,Fraser,Tourists (overnight),55850
1988,Beaver Creek,Excursionists (same-day),5061
1988,Fraser,Excursionists (same-day),31776
1988,Beaver Creek,Tourists (overnight),114877
1988,Pleasant Camp,Excursionists (same-day),18990
1988,Dawson,Excursionists (same-day),221
1988,Little Gold Creek,Excursionists (same-day),1377
1988,Dawson,Tourists (overnight),3070
1988,Pleasant Camp,Tourists (overnight),17335
1988,Whitehorse,Excursionists (same-day),182
1988,Little Gold Creek,Tourists (overnight),20015
1988,Whitehorse,Tourists (overnight),4486
1988,Old Crow,Excursionists (same-day),37
1988,Old Crow,Tourists (overnight),282
2002,Beaver Creek,Excursionists (same-day),8724
2002,Dawson,Excursionists (same-day),1421
2002,Fraser,Tourists (overnight),88152
2002,Pleasant Camp,Excursionists (same-day),23276
2002,Beaver Creek,Tourists (overnight),100368
2002,Dawson,Tourists (overnight),6320
2002,Whitehorse,Excursionists (same-day),545
2002,Pleasant Camp,Tourists (overnight),22531
2002,Little Gold Creek,Excursionists (same-day),1268
2002,Fraser,Excursionists (same-day),89240
2002,Whitehorse,Tourists (overnight),7135
2002,Little Gold Creek,Tourists (overnight),19109
2002,Old Crow,Excursionists (same-day),8
2002,Old Crow,Tourists (overnight),190
2003,Little Gold Creek,Tourists (overnight),16477
2003,Fraser,Tourists (overnight),97783
2003,Beaver Creek,Excursionists (same-day),8887
2003,Dawson,Excursionists (same-day),1321
2003,Old Crow,Tourists (overnight),17
2003,Whitehorse,Excursionists (same-day),273
2003,Beaver Creek,Tourists (overnight),93448
2003,Dawson,Tourists (overnight),6984
2003,Pleasant Camp,Excursionists (same-day),22930
2003,Whitehorse,Tourists (overnight),7009
