"ref_date","year","month","site","monthly_total","prev_year_monthly_total","monthly_percentage_difference","ytd_total","prev_year_ytd_total","ytd_percentage_difference","ytd_month_range"
"1971-04-01",1971,4,All,0,,,0,0,,April - April
"1971-05-01",1971,5,All,0,,,0,0,,April - May
"1971-06-01",1971,6,All,3603,,,3603,0,,April - June
"1971-07-01",1971,7,All,6392,,,9995,0,,April - July
"1971-08-01",1971,8,All,4777,,,14772,0,,April - August
"1971-09-01",1971,9,All,656,,,15428,0,,April - September
"1971-10-01",1971,10,All,10,,,15438,0,,April - October
"1971-11-01",1971,11,All,0,,,15438,0,,April - November
"1971-12-01",1971,12,All,0,,,15438,0,,April - December
"1971-04-01",1971,4,SS Klondike,0,,,0,0,,April - April
"1971-05-01",1971,5,SS Klondike,0,,,0,0,,April - May
"1971-06-01",1971,6,SS Klondike,3603,,,3603,0,,April - June
"1971-07-01",1971,7,SS Klondike,6392,,,9995,0,,April - July
"1971-08-01",1971,8,SS Klondike,4777,,,14772,0,,April - August
"1971-09-01",1971,9,SS Klondike,656,,,15428,0,,April - September
"1971-10-01",1971,10,SS Klondike,10,,,15438,0,,April - October
"1971-11-01",1971,11,SS Klondike,0,,,15438,0,,April - November
"1971-12-01",1971,12,SS Klondike,0,,,15438,0,,April - December
"1972-01-01",1972,1,All,0,,,0,0,,January - January
"1972-02-01",1972,2,All,0,,,0,0,,January - February
"1972-03-01",1972,3,All,310,,,310,0,,January - March
"1972-04-01",1972,4,All,144,0,,454,0,,January - April
"1972-05-01",1972,5,All,40,0,,494,0,,January - May
"1972-06-01",1972,6,All,9229,3603,156.1,9723,3603,169.9,January - June
"1972-07-01",1972,7,All,13684,6392,114.1,23407,9995,134.2,January - July
"1972-08-01",1972,8,All,9086,4777,90.2,32493,14772,120.0,January - August
"1972-09-01",1972,9,All,906,656,38.1,33399,15428,116.5,January - September
"1972-10-01",1972,10,All,0,10,-100.0,33399,15438,116.3,January - October
"1972-11-01",1972,11,All,11,0,,33410,15438,116.4,January - November
"1972-12-01",1972,12,All,0,0,,33410,15438,116.4,January - December
"1972-01-01",1972,1,SS Klondike,0,,,0,0,,January - January
"1972-02-01",1972,2,SS Klondike,0,,,0,0,,January - February
"1972-03-01",1972,3,SS Klondike,310,,,310,0,,January - March
"1972-04-01",1972,4,SS Klondike,144,0,,454,0,,January - April
"1972-05-01",1972,5,SS Klondike,40,0,,494,0,,January - May
"1972-06-01",1972,6,SS Klondike,9229,3603,156.1,9723,3603,169.9,January - June
"1972-07-01",1972,7,SS Klondike,13684,6392,114.1,23407,9995,134.2,January - July
"1972-08-01",1972,8,SS Klondike,9086,4777,90.2,32493,14772,120.0,January - August
"1972-09-01",1972,9,SS Klondike,906,656,38.1,33399,15428,116.5,January - September
"1972-10-01",1972,10,SS Klondike,0,10,-100.0,33399,15438,116.3,January - October
"1972-11-01",1972,11,SS Klondike,11,0,,33410,15438,116.4,January - November
"1972-12-01",1972,12,SS Klondike,0,0,,33410,15438,116.4,January - December
"1973-01-01",1973,1,All,0,0,,0,0,,January - January
"1973-02-01",1973,2,All,0,0,,0,0,,January - February
"1973-03-01",1973,3,All,190,310,-38.7,190,310,-38.7,January - March
"1973-04-01",1973,4,All,43,144,-70.1,233,454,-48.7,January - April
"1973-05-01",1973,5,All,88,40,120.0,321,494,-35.0,January - May
"1973-06-01",1973,6,All,7494,9229,-18.8,7815,9723,-19.6,January - June
"1973-07-01",1973,7,All,13279,13684,-3.0,21094,23407,-9.9,January - July
"1973-08-01",1973,8,All,8762,9086,-3.6,29856,32493,-8.1,January - August
"1973-09-01",1973,9,All,795,906,-12.3,30651,33399,-8.2,January - September
"1973-10-01",1973,10,All,0,0,,30651,33399,-8.2,January - October
"1973-11-01",1973,11,All,0,11,-100.0,30651,33410,-8.3,January - November
"1973-12-01",1973,12,All,0,0,,30651,33410,-8.3,January - December
"1973-04-01",1973,4,Chilkoot Trail,0,,,0,0,,April - April
"1973-05-01",1973,5,Chilkoot Trail,0,,,0,0,,April - May
"1973-06-01",1973,6,Chilkoot Trail,115,,,115,0,,April - June
"1973-07-01",1973,7,Chilkoot Trail,504,,,619,0,,April - July
"1973-08-01",1973,8,Chilkoot Trail,362,,,981,0,,April - August
"1973-09-01",1973,9,Chilkoot Trail,0,,,981,0,,April - September
"1973-10-01",1973,10,Chilkoot Trail,0,,,981,0,,April - October
"1973-11-01",1973,11,Chilkoot Trail,0,,,981,0,,April - November
"1973-12-01",1973,12,Chilkoot Trail,0,,,981,0,,April - December
"1973-01-01",1973,1,SS Klondike,0,0,,0,0,,January - January
"1973-02-01",1973,2,SS Klondike,0,0,,0,0,,January - February
"1973-03-01",1973,3,SS Klondike,190,310,-38.7,190,310,-38.7,January - March
"1973-04-01",1973,4,SS Klondike,43,144,-70.1,233,454,-48.7,January - April
"1973-05-01",1973,5,SS Klondike,88,40,120.0,321,494,-35.0,January - May
"1973-06-01",1973,6,SS Klondike,7379,9229,-20.0,7700,9723,-20.8,January - June
"1973-07-01",1973,7,SS Klondike,12775,13684,-6.6,20475,23407,-12.5,January - July
"1973-08-01",1973,8,SS Klondike,8400,9086,-7.6,28875,32493,-11.1,January - August
"1973-09-01",1973,9,SS Klondike,795,906,-12.3,29670,33399,-11.2,January - September
"1973-10-01",1973,10,SS Klondike,0,0,,29670,33399,-11.2,January - October
"1973-11-01",1973,11,SS Klondike,0,11,-100.0,29670,33410,-11.2,January - November
"1973-12-01",1973,12,SS Klondike,0,0,,29670,33410,-11.2,January - December
"1974-01-01",1974,1,All,0,0,,0,0,,January - January
"1974-02-01",1974,2,All,0,0,,0,0,,January - February
"1974-03-01",1974,3,All,0,190,-100.0,0,190,-100.0,January - March
"1974-04-01",1974,4,All,0,43,-100.0,0,233,-100.0,January - April
"1974-05-01",1974,5,All,13,88,-85.2,13,321,-96.0,January - May
"1974-06-01",1974,6,All,6669,7494,-11.0,6682,7815,-14.5,January - June
"1974-07-01",1974,7,All,9681,13279,-27.1,16363,21094,-22.4,January - July
"1974-08-01",1974,8,All,7098,8762,-19.0,23461,29856,-21.4,January - August
"1974-09-01",1974,9,All,1482,795,86.4,24943,30651,-18.6,January - September
"1974-10-01",1974,10,All,0,0,,24943,30651,-18.6,January - October
"1974-11-01",1974,11,All,0,0,,24943,30651,-18.6,January - November
"1974-12-01",1974,12,All,0,0,,24943,30651,-18.6,January - December
"1974-01-01",1974,1,Chilkoot Trail,0,,,0,0,,January - January
"1974-02-01",1974,2,Chilkoot Trail,0,,,0,0,,January - February
"1974-03-01",1974,3,Chilkoot Trail,0,,,0,0,,January - March
"1974-04-01",1974,4,Chilkoot Trail,0,0,,0,0,,January - April
"1974-05-01",1974,5,Chilkoot Trail,13,0,,13,0,,January - May
"1974-06-01",1974,6,Chilkoot Trail,104,115,-9.6,117,115,1.7,January - June
"1974-07-01",1974,7,Chilkoot Trail,478,504,-5.2,595,619,-3.9,January - July
"1974-08-01",1974,8,Chilkoot Trail,681,362,88.1,1276,981,30.1,January - August
"1974-09-01",1974,9,Chilkoot Trail,70,0,,1346,981,37.2,January - September
"1974-10-01",1974,10,Chilkoot Trail,0,0,,1346,981,37.2,January - October
"1974-11-01",1974,11,Chilkoot Trail,0,0,,1346,981,37.2,January - November
"1974-12-01",1974,12,Chilkoot Trail,0,0,,1346,981,37.2,January - December
"1974-01-01",1974,1,SS Klondike,0,0,,0,0,,January - January
"1974-02-01",1974,2,SS Klondike,0,0,,0,0,,January - February
"1974-03-01",1974,3,SS Klondike,0,190,-100.0,0,190,-100.0,January - March
"1974-04-01",1974,4,SS Klondike,0,43,-100.0,0,233,-100.0,January - April
"1974-05-01",1974,5,SS Klondike,0,88,-100.0,0,321,-100.0,January - May
"1974-06-01",1974,6,SS Klondike,6565,7379,-11.0,6565,7700,-14.7,January - June
"1974-07-01",1974,7,SS Klondike,9203,12775,-28.0,15768,20475,-23.0,January - July
"1974-08-01",1974,8,SS Klondike,6417,8400,-23.6,22185,28875,-23.2,January - August
"1974-09-01",1974,9,SS Klondike,1412,795,77.6,23597,29670,-20.5,January - September
"1974-10-01",1974,10,SS Klondike,0,0,,23597,29670,-20.5,January - October
"1974-11-01",1974,11,SS Klondike,0,0,,23597,29670,-20.5,January - November
"1974-12-01",1974,12,SS Klondike,0,0,,23597,29670,-20.5,January - December
"1975-01-01",1975,1,All,0,0,,0,0,,January - January
"1975-02-01",1975,2,All,0,0,,0,0,,January - February
"1975-03-01",1975,3,All,98,0,,98,0,,January - March
"1975-04-01",1975,4,All,36,0,,134,0,,January - April
"1975-05-01",1975,5,All,75,13,476.9,209,13,1507.7,January - May
"1975-06-01",1975,6,All,5459,6669,-18.1,5668,6682,-15.2,January - June
"1975-07-01",1975,7,All,9658,9681,-0.2,15326,16363,-6.3,January - July
"1975-08-01",1975,8,All,8698,7098,22.5,24024,23461,2.4,January - August
"1975-09-01",1975,9,All,1215,1482,-18.0,25239,24943,1.2,January - September
"1975-10-01",1975,10,All,0,0,,25239,24943,1.2,January - October
"1975-11-01",1975,11,All,0,0,,25239,24943,1.2,January - November
"1975-12-01",1975,12,All,0,0,,25239,24943,1.2,January - December
"1975-01-01",1975,1,Chilkoot Trail,0,0,,0,0,,January - January
"1975-02-01",1975,2,Chilkoot Trail,0,0,,0,0,,January - February
"1975-03-01",1975,3,Chilkoot Trail,0,0,,0,0,,January - March
"1975-04-01",1975,4,Chilkoot Trail,0,0,,0,0,,January - April
"1975-05-01",1975,5,Chilkoot Trail,0,13,-100.0,0,13,-100.0,January - May
"1975-06-01",1975,6,Chilkoot Trail,80,104,-23.1,80,117,-31.6,January - June
"1975-07-01",1975,7,Chilkoot Trail,507,478,6.1,587,595,-1.3,January - July
"1975-08-01",1975,8,Chilkoot Trail,626,681,-8.1,1213,1276,-4.9,January - August
"1975-09-01",1975,9,Chilkoot Trail,75,70,7.1,1288,1346,-4.3,January - September
"1975-10-01",1975,10,Chilkoot Trail,0,0,,1288,1346,-4.3,January - October
"1975-11-01",1975,11,Chilkoot Trail,0,0,,1288,1346,-4.3,January - November
"1975-12-01",1975,12,Chilkoot Trail,0,0,,1288,1346,-4.3,January - December
"1975-01-01",1975,1,SS Klondike,0,0,,0,0,,January - January
"1975-02-01",1975,2,SS Klondike,0,0,,0,0,,January - February
"1975-03-01",1975,3,SS Klondike,98,0,,98,0,,January - March
"1975-04-01",1975,4,SS Klondike,36,0,,134,0,,January - April
"1975-05-01",1975,5,SS Klondike,75,0,,209,0,,January - May
"1975-06-01",1975,6,SS Klondike,5379,6565,-18.1,5588,6565,-14.9,January - June
"1975-07-01",1975,7,SS Klondike,9151,9203,-0.6,14739,15768,-6.5,January - July
"1975-08-01",1975,8,SS Klondike,8072,6417,25.8,22811,22185,2.8,January - August
"1975-09-01",1975,9,SS Klondike,1140,1412,-19.3,23951,23597,1.5,January - September
"1975-10-01",1975,10,SS Klondike,0,0,,23951,23597,1.5,January - October
"1975-11-01",1975,11,SS Klondike,0,0,,23951,23597,1.5,January - November
"1975-12-01",1975,12,SS Klondike,0,0,,23951,23597,1.5,January - December
"1976-01-01",1976,1,All,0,0,,0,0,,January - January
"1976-02-01",1976,2,All,0,0,,0,0,,January - February
"1976-03-01",1976,3,All,23,98,-76.5,23,98,-76.5,January - March
"1976-04-01",1976,4,All,0,36,-100.0,23,134,-82.8,January - April
"1976-05-01",1976,5,All,243,75,224.0,266,209,27.3,January - May
"1976-06-01",1976,6,All,6468,5459,18.5,6734,5668,18.8,January - June
"1976-07-01",1976,7,All,10487,9658,8.6,17221,15326,12.4,January - July
"1976-08-01",1976,8,All,8523,8698,-2.0,25744,24024,7.2,January - August
"1976-09-01",1976,9,All,1787,1215,47.1,27531,25239,9.1,January - September
"1976-10-01",1976,10,All,71,0,,27602,25239,9.4,January - October
"1976-11-01",1976,11,All,10,0,,27612,25239,9.4,January - November
"1976-12-01",1976,12,All,10,0,,27622,25239,9.4,January - December
"1976-01-01",1976,1,Chilkoot Trail,0,0,,0,0,,January - January
"1976-02-01",1976,2,Chilkoot Trail,0,0,,0,0,,January - February
"1976-03-01",1976,3,Chilkoot Trail,0,0,,0,0,,January - March
"1976-04-01",1976,4,Chilkoot Trail,0,0,,0,0,,January - April
"1976-05-01",1976,5,Chilkoot Trail,0,0,,0,0,,January - May
"1976-06-01",1976,6,Chilkoot Trail,172,80,115.0,172,80,115.0,January - June
"1976-07-01",1976,7,Chilkoot Trail,470,507,-7.3,642,587,9.4,January - July
"1976-08-01",1976,8,Chilkoot Trail,718,626,14.7,1360,1213,12.1,January - August
"1976-09-01",1976,9,Chilkoot Trail,148,75,97.3,1508,1288,17.1,January - September
"1976-10-01",1976,10,Chilkoot Trail,0,0,,1508,1288,17.1,January - October
"1976-11-01",1976,11,Chilkoot Trail,0,0,,1508,1288,17.1,January - November
"1976-12-01",1976,12,Chilkoot Trail,0,0,,1508,1288,17.1,January - December
"1976-04-01",1976,4,Kluane National Park,0,,,0,0,,April - April
"1976-05-01",1976,5,Kluane National Park,70,,,70,0,,April - May
"1976-06-01",1976,6,Kluane National Park,465,,,535,0,,April - June
"1976-07-01",1976,7,Kluane National Park,774,,,1309,0,,April - July
"1976-08-01",1976,8,Kluane National Park,779,,,2088,0,,April - August
"1976-09-01",1976,9,Kluane National Park,148,,,2236,0,,April - September
"1976-10-01",1976,10,Kluane National Park,34,,,2270,0,,April - October
"1976-11-01",1976,11,Kluane National Park,10,,,2280,0,,April - November
"1976-12-01",1976,12,Kluane National Park,10,,,2290,0,,April - December
"1976-01-01",1976,1,SS Klondike,0,0,,0,0,,January - January
"1976-02-01",1976,2,SS Klondike,0,0,,0,0,,January - February
"1976-03-01",1976,3,SS Klondike,23,98,-76.5,23,98,-76.5,January - March
"1976-04-01",1976,4,SS Klondike,0,36,-100.0,23,134,-82.8,January - April
"1976-05-01",1976,5,SS Klondike,173,75,130.7,196,209,-6.2,January - May
"1976-06-01",1976,6,SS Klondike,5831,5379,8.4,6027,5588,7.9,January - June
"1976-07-01",1976,7,SS Klondike,9243,9151,1.0,15270,14739,3.6,January - July
"1976-08-01",1976,8,SS Klondike,7026,8072,-13.0,22296,22811,-2.3,January - August
"1976-09-01",1976,9,SS Klondike,1491,1140,30.8,23787,23951,-0.7,January - September
"1976-10-01",1976,10,SS Klondike,37,0,,23824,23951,-0.5,January - October
"1976-11-01",1976,11,SS Klondike,0,0,,23824,23951,-0.5,January - November
"1976-12-01",1976,12,SS Klondike,0,0,,23824,23951,-0.5,January - December
"1977-01-01",1977,1,All,4,0,,4,0,,January - January
"1977-02-01",1977,2,All,17,0,,21,0,,January - February
"1977-03-01",1977,3,All,36,23,56.5,57,23,147.8,January - March
"1977-04-01",1977,4,All,128,0,,185,23,704.3,January - April
"1977-05-01",1977,5,All,211,243,-13.2,396,266,48.9,January - May
"1977-06-01",1977,6,All,9569,6468,47.9,9965,6734,48.0,January - June
"1977-07-01",1977,7,All,14686,10487,40.0,24651,17221,43.1,January - July
"1977-08-01",1977,8,All,10935,8523,28.3,35586,25744,38.2,January - August
"1977-09-01",1977,9,All,2402,1787,34.4,37988,27531,38.0,January - September
"1977-10-01",1977,10,All,112,71,57.7,38100,27602,38.0,January - October
"1977-11-01",1977,11,All,16,10,60.0,38116,27612,38.0,January - November
"1977-12-01",1977,12,All,7,10,-30.0,38123,27622,38.0,January - December
"1977-01-01",1977,1,Chilkoot Trail,0,0,,0,0,,January - January
"1977-02-01",1977,2,Chilkoot Trail,0,0,,0,0,,January - February
"1977-03-01",1977,3,Chilkoot Trail,0,0,,0,0,,January - March
"1977-04-01",1977,4,Chilkoot Trail,0,0,,0,0,,January - April
"1977-05-01",1977,5,Chilkoot Trail,21,0,,21,0,,January - May
"1977-06-01",1977,6,Chilkoot Trail,188,172,9.3,209,172,21.5,January - June
"1977-07-01",1977,7,Chilkoot Trail,557,470,18.5,766,642,19.3,January - July
"1977-08-01",1977,8,Chilkoot Trail,786,718,9.5,1552,1360,14.1,January - August
"1977-09-01",1977,9,Chilkoot Trail,153,148,3.4,1705,1508,13.1,January - September
"1977-10-01",1977,10,Chilkoot Trail,0,0,,1705,1508,13.1,January - October
"1977-11-01",1977,11,Chilkoot Trail,0,0,,1705,1508,13.1,January - November
"1977-12-01",1977,12,Chilkoot Trail,0,0,,1705,1508,13.1,January - December
"1977-01-01",1977,1,Kluane National Park,4,,,4,0,,January - January
"1977-02-01",1977,2,Kluane National Park,17,,,21,0,,January - February
"1977-03-01",1977,3,Kluane National Park,36,,,57,0,,January - March
"1977-04-01",1977,4,Kluane National Park,0,0,,57,0,,January - April
"1977-05-01",1977,5,Kluane National Park,0,70,-100.0,57,70,-18.6,January - May
"1977-06-01",1977,6,Kluane National Park,549,465,18.1,606,535,13.3,January - June
"1977-07-01",1977,7,Kluane National Park,1805,774,133.2,2411,1309,84.2,January - July
"1977-08-01",1977,8,Kluane National Park,1714,779,120.0,4125,2088,97.6,January - August
"1977-09-01",1977,9,Kluane National Park,363,148,145.3,4488,2236,100.7,January - September
"1977-10-01",1977,10,Kluane National Park,48,34,41.2,4536,2270,99.8,January - October
"1977-11-01",1977,11,Kluane National Park,15,10,50.0,4551,2280,99.6,January - November
"1977-12-01",1977,12,Kluane National Park,7,10,-30.0,4558,2290,99.0,January - December
"1977-01-01",1977,1,SS Klondike,0,0,,0,0,,January - January
"1977-02-01",1977,2,SS Klondike,0,0,,0,0,,January - February
"1977-03-01",1977,3,SS Klondike,0,23,-100.0,0,23,-100.0,January - March
"1977-04-01",1977,4,SS Klondike,128,0,,128,23,456.5,January - April
"1977-05-01",1977,5,SS Klondike,190,173,9.8,318,196,62.2,January - May
"1977-06-01",1977,6,SS Klondike,8832,5831,51.5,9150,6027,51.8,January - June
"1977-07-01",1977,7,SS Klondike,12324,9243,33.3,21474,15270,40.6,January - July
"1977-08-01",1977,8,SS Klondike,8435,7026,20.1,29909,22296,34.1,January - August
"1977-09-01",1977,9,SS Klondike,1886,1491,26.5,31795,23787,33.7,January - September
"1977-10-01",1977,10,SS Klondike,64,37,73.0,31859,23824,33.7,January - October
"1977-11-01",1977,11,SS Klondike,1,0,,31860,23824,33.7,January - November
"1977-12-01",1977,12,SS Klondike,0,0,,31860,23824,33.7,January - December
"1978-01-01",1978,1,All,11,4,175.0,11,4,175.0,January - January
"1978-02-01",1978,2,All,0,17,-100.0,11,21,-47.6,January - February
"1978-03-01",1978,3,All,101,36,180.6,112,57,96.5,January - March
"1978-04-01",1978,4,All,92,128,-28.1,204,185,10.3,January - April
"1978-05-01",1978,5,All,618,211,192.9,822,396,107.6,January - May
"1978-06-01",1978,6,All,8308,9569,-13.2,9130,9965,-8.4,January - June
"1978-07-01",1978,7,All,15143,14686,3.1,24273,24651,-1.5,January - July
"1978-08-01",1978,8,All,12528,10935,14.6,36801,35586,3.4,January - August
"1978-09-01",1978,9,All,2811,2402,17.0,39612,37988,4.3,January - September
"1978-10-01",1978,10,All,87,112,-22.3,39699,38100,4.2,January - October
"1978-11-01",1978,11,All,67,16,318.8,39766,38116,4.3,January - November
"1978-12-01",1978,12,All,21,7,200.0,39787,38123,4.4,January - December
"1978-01-01",1978,1,Chilkoot Trail,0,0,,0,0,,January - January
"1978-02-01",1978,2,Chilkoot Trail,0,0,,0,0,,January - February
"1978-03-01",1978,3,Chilkoot Trail,0,0,,0,0,,January - March
"1978-04-01",1978,4,Chilkoot Trail,0,0,,0,0,,January - April
"1978-05-01",1978,5,Chilkoot Trail,0,21,-100.0,0,21,-100.0,January - May
"1978-06-01",1978,6,Chilkoot Trail,244,188,29.8,244,209,16.7,January - June
"1978-07-01",1978,7,Chilkoot Trail,745,557,33.8,989,766,29.1,January - July
"1978-08-01",1978,8,Chilkoot Trail,820,786,4.3,1809,1552,16.6,January - August
"1978-09-01",1978,9,Chilkoot Trail,139,153,-9.2,1948,1705,14.3,January - September
"1978-10-01",1978,10,Chilkoot Trail,0,0,,1948,1705,14.3,January - October
"1978-11-01",1978,11,Chilkoot Trail,0,0,,1948,1705,14.3,January - November
"1978-12-01",1978,12,Chilkoot Trail,0,0,,1948,1705,14.3,January - December
"1978-01-01",1978,1,Kluane National Park,11,4,175.0,11,4,175.0,January - January
"1978-02-01",1978,2,Kluane National Park,0,17,-100.0,11,21,-47.6,January - February
"1978-03-01",1978,3,Kluane National Park,47,36,30.6,58,57,1.8,January - March
"1978-04-01",1978,4,Kluane National Park,62,0,,120,57,110.5,January - April
"1978-05-01",1978,5,Kluane National Park,158,0,,278,57,387.7,January - May
"1978-06-01",1978,6,Kluane National Park,994,549,81.1,1272,606,109.9,January - June
"1978-07-01",1978,7,Kluane National Park,2900,1805,60.7,4172,2411,73.0,January - July
"1978-08-01",1978,8,Kluane National Park,2424,1714,41.4,6596,4125,59.9,January - August
"1978-09-01",1978,9,Kluane National Park,1990,363,448.2,8586,4488,91.3,January - September
"1978-10-01",1978,10,Kluane National Park,87,48,81.3,8673,4536,91.2,January - October
"1978-11-01",1978,11,Kluane National Park,43,15,186.7,8716,4551,91.5,January - November
"1978-12-01",1978,12,Kluane National Park,21,7,200.0,8737,4558,91.7,January - December
"1978-01-01",1978,1,SS Klondike,0,0,,0,0,,January - January
"1978-02-01",1978,2,SS Klondike,0,0,,0,0,,January - February
"1978-03-01",1978,3,SS Klondike,54,0,,54,0,,January - March
"1978-04-01",1978,4,SS Klondike,30,128,-76.6,84,128,-34.4,January - April
"1978-05-01",1978,5,SS Klondike,460,190,142.1,544,318,71.1,January - May
"1978-06-01",1978,6,SS Klondike,7070,8832,-20.0,7614,9150,-16.8,January - June
"1978-07-01",1978,7,SS Klondike,11498,12324,-6.7,19112,21474,-11.0,January - July
"1978-08-01",1978,8,SS Klondike,9284,8435,10.1,28396,29909,-5.1,January - August
"1978-09-01",1978,9,SS Klondike,682,1886,-63.8,29078,31795,-8.5,January - September
"1978-10-01",1978,10,SS Klondike,0,64,-100.0,29078,31859,-8.7,January - October
"1978-11-01",1978,11,SS Klondike,24,1,2300.0,29102,31860,-8.7,January - November
"1978-12-01",1978,12,SS Klondike,0,0,,29102,31860,-8.7,January - December
"1979-01-01",1979,1,All,17,11,54.5,17,11,54.5,January - January
"1979-02-01",1979,2,All,21,0,,38,11,245.5,January - February
"1979-03-01",1979,3,All,26,101,-74.3,64,112,-42.9,January - March
"1979-04-01",1979,4,All,101,92,9.8,165,204,-19.1,January - April
"1979-05-01",1979,5,All,660,618,6.8,825,822,0.4,January - May
"1979-06-01",1979,6,All,9841,8308,18.5,10666,9130,16.8,January - June
"1979-07-01",1979,7,All,15878,15143,4.9,26544,24273,9.4,January - July
"1979-08-01",1979,8,All,13467,12528,7.5,40011,36801,8.7,January - August
"1979-09-01",1979,9,All,2863,2811,1.8,42874,39612,8.2,January - September
"1979-10-01",1979,10,All,81,87,-6.9,42955,39699,8.2,January - October
"1979-11-01",1979,11,All,41,67,-38.8,42996,39766,8.1,January - November
"1979-12-01",1979,12,All,21,21,0.0,43017,39787,8.1,January - December
"1979-01-01",1979,1,Chilkoot Trail,0,0,,0,0,,January - January
"1979-02-01",1979,2,Chilkoot Trail,0,0,,0,0,,January - February
"1979-03-01",1979,3,Chilkoot Trail,0,0,,0,0,,January - March
"1979-04-01",1979,4,Chilkoot Trail,0,0,,0,0,,January - April
"1979-05-01",1979,5,Chilkoot Trail,16,0,,16,0,,January - May
"1979-06-01",1979,6,Chilkoot Trail,251,244,2.9,267,244,9.4,January - June
"1979-07-01",1979,7,Chilkoot Trail,850,745,14.1,1117,989,12.9,January - July
"1979-08-01",1979,8,Chilkoot Trail,1020,820,24.4,2137,1809,18.1,January - August
"1979-09-01",1979,9,Chilkoot Trail,166,139,19.4,2303,1948,18.2,January - September
"1979-10-01",1979,10,Chilkoot Trail,0,0,,2303,1948,18.2,January - October
"1979-11-01",1979,11,Chilkoot Trail,0,0,,2303,1948,18.2,January - November
"1979-12-01",1979,12,Chilkoot Trail,0,0,,2303,1948,18.2,January - December
"1979-01-01",1979,1,Kluane National Park,17,11,54.5,17,11,54.5,January - January
"1979-02-01",1979,2,Kluane National Park,21,0,,38,11,245.5,January - February
"1979-03-01",1979,3,Kluane National Park,19,47,-59.6,57,58,-1.7,January - March
"1979-04-01",1979,4,Kluane National Park,60,62,-3.2,117,120,-2.5,January - April
"1979-05-01",1979,5,Kluane National Park,182,158,15.2,299,278,7.6,January - May
"1979-06-01",1979,6,Kluane National Park,1165,994,17.2,1464,1272,15.1,January - June
"1979-07-01",1979,7,Kluane National Park,2506,2900,-13.6,3970,4172,-4.8,January - July
"1979-08-01",1979,8,Kluane National Park,2532,2424,4.5,6502,6596,-1.4,January - August
"1979-09-01",1979,9,Kluane National Park,1315,1990,-33.9,7817,8586,-9.0,January - September
"1979-10-01",1979,10,Kluane National Park,66,87,-24.1,7883,8673,-9.1,January - October
"1979-11-01",1979,11,Kluane National Park,41,43,-4.7,7924,8716,-9.1,January - November
"1979-12-01",1979,12,Kluane National Park,21,21,0.0,7945,8737,-9.1,January - December
"1979-01-01",1979,1,SS Klondike,0,0,,0,0,,January - January
"1979-02-01",1979,2,SS Klondike,0,0,,0,0,,January - February
"1979-03-01",1979,3,SS Klondike,7,54,-87.0,7,54,-87.0,January - March
"1979-04-01",1979,4,SS Klondike,41,30,36.7,48,84,-42.9,January - April
"1979-05-01",1979,5,SS Klondike,462,460,0.4,510,544,-6.3,January - May
"1979-06-01",1979,6,SS Klondike,8425,7070,19.2,8935,7614,17.3,January - June
"1979-07-01",1979,7,SS Klondike,12522,11498,8.9,21457,19112,12.3,January - July
"1979-08-01",1979,8,SS Klondike,9915,9284,6.8,31372,28396,10.5,January - August
"1979-09-01",1979,9,SS Klondike,1382,682,102.6,32754,29078,12.6,January - September
"1979-10-01",1979,10,SS Klondike,15,0,,32769,29078,12.7,January - October
"1979-11-01",1979,11,SS Klondike,0,24,-100.0,32769,29102,12.6,January - November
"1979-12-01",1979,12,SS Klondike,0,0,,32769,29102,12.6,January - December
"1980-01-01",1980,1,All,86,17,405.9,86,17,405.9,January - January
"1980-02-01",1980,2,All,76,21,261.9,162,38,326.3,January - February
"1980-03-01",1980,3,All,152,26,484.6,314,64,390.6,January - March
"1980-04-01",1980,4,All,307,101,204.0,621,165,276.4,January - April
"1980-05-01",1980,5,All,653,660,-1.1,1274,825,54.4,January - May
"1980-06-01",1980,6,All,13012,9841,32.2,14286,10666,33.9,January - June
"1980-07-01",1980,7,All,25319,15878,59.5,39605,26544,49.2,January - July
"1980-08-01",1980,8,All,21171,13467,57.2,60776,40011,51.9,January - August
"1980-09-01",1980,9,All,7978,2863,178.7,68754,42874,60.4,January - September
"1980-10-01",1980,10,All,149,81,84.0,68903,42955,60.4,January - October
"1980-11-01",1980,11,All,101,41,146.3,69004,42996,60.5,January - November
"1980-12-01",1980,12,All,43,21,104.8,69047,43017,60.5,January - December
"1980-01-01",1980,1,Chilkoot Trail,0,0,,0,0,,January - January
"1980-02-01",1980,2,Chilkoot Trail,0,0,,0,0,,January - February
"1980-03-01",1980,3,Chilkoot Trail,0,0,,0,0,,January - March
"1980-04-01",1980,4,Chilkoot Trail,0,0,,0,0,,January - April
"1980-05-01",1980,5,Chilkoot Trail,0,16,-100.0,0,16,-100.0,January - May
"1980-06-01",1980,6,Chilkoot Trail,303,251,20.7,303,267,13.5,January - June
"1980-07-01",1980,7,Chilkoot Trail,732,850,-13.9,1035,1117,-7.3,January - July
"1980-08-01",1980,8,Chilkoot Trail,1070,1020,4.9,2105,2137,-1.5,January - August
"1980-09-01",1980,9,Chilkoot Trail,205,166,23.5,2310,2303,0.3,January - September
"1980-10-01",1980,10,Chilkoot Trail,0,0,,2310,2303,0.3,January - October
"1980-11-01",1980,11,Chilkoot Trail,0,0,,2310,2303,0.3,January - November
