date,year,month,location,monthly_total,prev_year_monthly_total,monthly_percentage_difference,ytd_total,prev_year_ytd_total,ytd_percentage_difference,ytd_total_2019,c2019_percentage_difference,ytd_month_range
1990-01-01,1990,1,Whitehorse,92,119,-22.7,92,119,-22.7,31,196.8,January - January
1990-02-01,1990,2,Whitehorse,243,203,19.7,335,322,4.0,90,272.2,January - February
1990-03-01,1990,3,Whitehorse,220,325,-32.3,555,647,-14.2,139,299.3,January - March
1990-04-01,1990,4,Whitehorse,189,278,-32.0,744,925,-19.6,198,275.8,January - April
1990-05-01,1990,5,Whitehorse,377,286,31.8,1121,1211,-7.4,282,297.5,January - May
1990-06-01,1990,6,Whitehorse,539,445,21.1,1660,1656,0.2,1552,7.0,January - June
1990-07-01,1990,7,Whitehorse,1150,1038,10.8,2810,2694,4.3,2753,2.1,January - July
1990-08-01,1990,8,Whitehorse,926,680,36.2,3736,3374,10.7,3932,-5.0,January - August
1990-09-01,1990,9,Whitehorse,613,535,14.6,4349,3909,11.3,4697,-7.4,January - September
1990-10-01,1990,10,Whitehorse,347,242,43.4,4696,4151,13.1,4750,-1.1,January - October
1990-11-01,1990,11,Whitehorse,180,166,8.4,4876,4317,12.9,4761,2.4,January - November
1990-12-01,1990,12,Whitehorse,65,304,-78.6,4941,4621,6.9,4812,2.7,January - December
1990-01-01,1990,1,Yukon,4105,3943,4.1,4105,3943,4.1,3897,5.3,January - January
1990-02-01,1990,2,Yukon,3889,4066,-4.4,7994,8009,-0.2,7490,6.7,January - February
1990-03-01,1990,3,Yukon,8202,6359,29.0,16196,14368,12.7,14237,13.8,January - March
1990-04-01,1990,4,Yukon,10705,8713,22.9,26901,23081,16.6,24422,10.2,January - April
1990-05-01,1990,5,Yukon,17879,16099,11.1,44780,39180,14.3,83567,-46.4,January - May
1990-06-01,1990,6,Yukon,45649,45258,0.9,90429,84438,7.1,185818,-51.3,January - June
1990-07-01,1990,7,Yukon,76738,78386,-2.1,167167,162824,2.7,306133,-45.4,January - July
1990-08-01,1990,8,Yukon,66405,62581,6.1,233572,225405,3.6,419587,-44.3,January - August
1990-09-01,1990,9,Yukon,28217,25841,9.2,261789,251246,4.2,484785,-46.0,January - September
1990-10-01,1990,10,Yukon,9741,9599,1.5,271530,260845,4.1,496485,-45.3,January - October
1990-11-01,1990,11,Yukon,4977,5214,-4.5,276507,266059,3.9,500857,-44.8,January - November
1990-12-01,1990,12,Yukon,4290,5389,-20.4,280797,271448,3.4,505027,-44.4,January - December
1991-01-01,1991,1,Beaver Creek,1481,1693,-12.5,1481,1693,-12.5,1625,-8.9,January - January
1991-02-01,1991,2,Beaver Creek,1535,1574,-2.5,3016,3267,-7.7,3005,0.4,January - February
1991-03-01,1991,3,Beaver Creek,2645,2628,0.6,5661,5895,-4.0,5391,5.0,January - March
1991-04-01,1991,4,Beaver Creek,2695,2666,1.1,8356,8561,-2.4,8868,-5.8,January - April
1991-05-01,1991,5,Beaver Creek,6077,6021,0.9,14433,14582,-1.0,15410,-6.3,January - May
1991-06-01,1991,6,Beaver Creek,18015,18372,-1.9,32448,32954,-1.5,27597,17.6,January - June
1991-07-01,1991,7,Beaver Creek,31417,31965,-1.7,63865,64919,-1.6,43623,46.4,January - July
1991-08-01,1991,8,Beaver Creek,28840,28412,1.5,92705,93331,-0.7,59387,56.1,January - August
1991-09-01,1991,9,Beaver Creek,13349,13163,1.4,106054,106494,-0.4,71200,49.0,January - September
1991-10-01,1991,10,Beaver Creek,5335,5243,1.8,111389,111737,-0.3,76066,46.4,January - October
1991-11-01,1991,11,Beaver Creek,2847,2580,10.3,114236,114317,-0.1,78102,46.3,January - November
1991-12-01,1991,12,Beaver Creek,2697,2400,12.4,116933,116717,0.2,79644,46.8,January - December
1991-01-01,1991,1,Dawson,4,6,-33.3,4,6,-33.3,0,,January - January
1991-02-01,1991,2,Dawson,16,38,-57.9,20,44,-54.5,11,81.8,January - February
1991-03-01,1991,3,Dawson,86,108,-20.4,106,152,-30.3,13,715.4,January - March
1991-04-01,1991,4,Dawson,50,36,38.9,156,188,-17.0,21,642.9,January - April
1991-05-01,1991,5,Dawson,223,190,17.4,379,378,0.3,383,-1.0,January - May
1991-06-01,1991,6,Dawson,957,1490,-35.8,1336,1868,-28.5,2355,-43.3,January - June
1991-07-01,1991,7,Dawson,1440,2009,-28.3,2776,3877,-28.4,4575,-39.3,January - July
1991-08-01,1991,8,Dawson,1468,1981,-25.9,4244,5858,-27.6,6723,-36.9,January - August
1991-09-01,1991,9,Dawson,334,616,-45.8,4578,6474,-29.3,6725,-31.9,January - September
1991-10-01,1991,10,Dawson,10,1,900.0,4588,6475,-29.1,6726,-31.8,January - October
1991-11-01,1991,11,Dawson,39,24,62.5,4627,6499,-28.8,6726,-31.2,January - November
1991-12-01,1991,12,Dawson,0,0,,4627,6499,-28.8,6728,-31.2,January - December
1991-01-01,1991,1,Fraser,679,891,-23.8,679,891,-23.8,1196,-43.2,January - January
1991-02-01,1991,2,Fraser,807,927,-12.9,1486,1818,-18.3,2629,-43.5,January - February
1991-03-01,1991,3,Fraser,2539,2933,-13.4,4025,4751,-15.3,5857,-31.3,January - March
1991-04-01,1991,4,Fraser,3332,3875,-14.0,7357,8626,-14.7,10951,-32.8,January - April
1991-05-01,1991,5,Fraser,6594,6929,-4.8,13951,15555,-10.3,58650,-76.2,January - May
1991-06-01,1991,6,Fraser,16919,15998,5.8,30870,31553,-2.2,136560,-77.4,January - June
1991-07-01,1991,7,Fraser,22941,25773,-11.0,53811,57326,-6.1,225287,-76.1,January - July
1991-08-01,1991,8,Fraser,18896,20353,-7.2,72707,77679,-6.4,308458,-76.4,January - August
1991-09-01,1991,9,Fraser,9335,8276,12.8,82042,85955,-4.6,355275,-76.9,January - September
1991-10-01,1991,10,Fraser,1762,1727,2.0,83804,87682,-4.4,359395,-76.7,January - October
1991-11-01,1991,11,Fraser,805,782,2.9,84609,88464,-4.4,360687,-76.5,January - November
1991-12-01,1991,12,Fraser,751,721,4.2,85360,89185,-4.3,362508,-76.5,January - December
1991-01-01,1991,1,Little Gold Creek,0,0,,0,0,,0,,January - January
1991-02-01,1991,2,Little Gold Creek,0,0,,0,0,,0,,January - February
1991-03-01,1991,3,Little Gold Creek,0,0,,0,0,,0,,January - March
1991-04-01,1991,4,Little Gold Creek,10,5,100.0,10,5,100.0,0,,January - April
1991-05-01,1991,5,Little Gold Creek,587,546,7.5,597,551,8.3,557,7.2,January - May
1991-06-01,1991,6,Little Gold Creek,3413,3547,-3.8,4010,4098,-2.1,3326,20.6,January - June
1991-07-01,1991,7,Little Gold Creek,6872,6402,7.3,10882,10500,3.6,7495,45.2,January - July
1991-08-01,1991,8,Little Gold Creek,5911,5697,3.8,16793,16197,3.7,11483,46.2,January - August
1991-09-01,1991,9,Little Gold Creek,1567,1472,6.5,18360,17669,3.9,13193,39.2,January - September
1991-10-01,1991,10,Little Gold Creek,35,30,16.7,18395,17699,3.9,13193,39.4,January - October
1991-11-01,1991,11,Little Gold Creek,0,0,,18395,17699,3.9,13193,39.4,January - November
1991-12-01,1991,12,Little Gold Creek,0,0,,18395,17699,3.9,13193,39.4,January - December
1991-01-01,1991,1,Old Crow,11,18,-38.9,11,18,-38.9,0,,January - January
1991-02-01,1991,2,Old Crow,0,0,,11,18,-38.9,0,,January - February
1991-03-01,1991,3,Old Crow,19,12,58.3,30,30,0.0,0,,January - March
1991-04-01,1991,4,Old Crow,0,5,-100.0,30,35,-14.3,0,,January - April
1991-05-01,1991,5,Old Crow,4,8,-50.0,34,43,-20.9,0,,January - May
1991-06-01,1991,6,Old Crow,24,94,-74.5,58,137,-57.7,1,5700.0,January - June
1991-07-01,1991,7,Old Crow,17,125,-86.4,75,262,-71.4,1,7400.0,January - July
1991-08-01,1991,8,Old Crow,59,41,43.9,134,303,-55.8,1,13300.0,January - August
1991-09-01,1991,9,Old Crow,36,231,-84.4,170,534,-68.2,1,16900.0,January - September
1991-10-01,1991,10,Old Crow,3,10,-70.0,173,544,-68.2,1,17200.0,January - October
1991-11-01,1991,11,Old Crow,7,51,-86.3,180,595,-69.7,1,17900.0,January - November
1991-12-01,1991,12,Old Crow,8,9,-11.1,188,604,-68.9,1,18700.0,January - December
1991-01-01,1991,1,Pleasant Camp,1279,1405,-9.0,1279,1405,-9.0,1045,22.4,January - January
1991-02-01,1991,2,Pleasant Camp,1116,1107,0.8,2395,2512,-4.7,1755,36.5,January - February
1991-03-01,1991,3,Pleasant Camp,2142,2301,-6.9,4537,4813,-5.7,2837,59.9,January - March
1991-04-01,1991,4,Pleasant Camp,2428,3929,-38.2,6965,8742,-20.3,4384,58.9,January - April
1991-05-01,1991,5,Pleasant Camp,3865,3808,1.5,10830,12550,-13.7,8285,30.7,January - May
1991-06-01,1991,6,Pleasant Camp,6464,5609,15.2,17294,18159,-4.8,14427,19.9,January - June
1991-07-01,1991,7,Pleasant Camp,9860,9314,5.9,27154,27473,-1.2,22399,21.2,January - July
1991-08-01,1991,8,Pleasant Camp,8963,8995,-0.4,36117,36468,-1.0,29603,22.0,January - August
1991-09-01,1991,9,Pleasant Camp,3757,3846,-2.3,39874,40314,-1.1,33694,18.3,January - September
1991-10-01,1991,10,Pleasant Camp,2590,2383,8.7,42464,42697,-0.5,36354,16.8,January - October
1991-11-01,1991,11,Pleasant Camp,1346,1360,-1.0,43810,44057,-0.6,37387,17.2,January - November
1991-12-01,1991,12,Pleasant Camp,1355,1095,23.7,45165,45152,0.0,38141,18.4,January - December
1991-01-01,1991,1,Whitehorse,104,92,13.0,104,92,13.0,31,235.5,January - January
1991-02-01,1991,2,Whitehorse,294,243,21.0,398,335,18.8,90,342.2,January - February
1991-03-01,1991,3,Whitehorse,295,220,34.1,693,555,24.9,139,398.6,January - March
1991-04-01,1991,4,Whitehorse,268,189,41.8,961,744,29.2,198,385.4,January - April
1991-05-01,1991,5,Whitehorse,321,377,-14.9,1282,1121,14.4,282,354.6,January - May
1991-06-01,1991,6,Whitehorse,490,539,-9.1,1772,1660,6.7,1552,14.2,January - June
1991-07-01,1991,7,Whitehorse,1004,1150,-12.7,2776,2810,-1.2,2753,0.8,January - July
1991-08-01,1991,8,Whitehorse,759,926,-18.0,3535,3736,-5.4,3932,-10.1,January - August
1991-09-01,1991,9,Whitehorse,515,613,-16.0,4050,4349,-6.9,4697,-13.8,January - September
1991-10-01,1991,10,Whitehorse,272,347,-21.6,4322,4696,-8.0,4750,-9.0,January - October
1991-11-01,1991,11,Whitehorse,139,180,-22.8,4461,4876,-8.5,4761,-6.3,January - November
1991-12-01,1991,12,Whitehorse,82,65,26.2,4543,4941,-8.1,4812,-5.6,January - December
1991-01-01,1991,1,Yukon,3558,4105,-13.3,3558,4105,-13.3,3897,-8.7,January - January
1991-02-01,1991,2,Yukon,3768,3889,-3.1,7326,7994,-8.4,7490,-2.2,January - February
1991-03-01,1991,3,Yukon,7726,8202,-5.8,15052,16196,-7.1,14237,5.7,January - March
1991-04-01,1991,4,Yukon,8783,10705,-18.0,23835,26901,-11.4,24422,-2.4,January - April
1991-05-01,1991,5,Yukon,17671,17879,-1.2,41506,44780,-7.3,83567,-50.3,January - May
1991-06-01,1991,6,Yukon,46282,45649,1.4,87788,90429,-2.9,185818,-52.8,January - June
1991-07-01,1991,7,Yukon,73551,76738,-4.2,161339,167167,-3.5,306133,-47.3,January - July
1991-08-01,1991,8,Yukon,64896,66405,-2.3,226235,233572,-3.1,419587,-46.1,January - August
1991-09-01,1991,9,Yukon,28893,28217,2.4,255128,261789,-2.5,484785,-47.4,January - September
1991-10-01,1991,10,Yukon,10007,9741,2.7,265135,271530,-2.4,496485,-46.6,January - October
1991-11-01,1991,11,Yukon,5183,4977,4.1,270318,276507,-2.2,500857,-46.0,January - November
1991-12-01,1991,12,Yukon,4893,4290,14.1,275211,280797,-2.0,505027,-45.5,January - December
1992-01-01,1992,1,Beaver Creek,1817,1481,22.7,1817,1481,22.7,1625,11.8,January - January
1992-02-01,1992,2,Beaver Creek,1609,1535,4.8,3426,3016,13.6,3005,14.0,January - February
1992-03-01,1992,3,Beaver Creek,2349,2645,-11.2,5775,5661,2.0,5391,7.1,January - March
1992-04-01,1992,4,Beaver Creek,3416,2695,26.8,9191,8356,10.0,8868,3.6,January - April
1992-05-01,1992,5,Beaver Creek,7342,6077,20.8,16533,14433,14.5,15410,7.3,January - May
1992-06-01,1992,6,Beaver Creek,22324,18015,23.9,38857,32448,19.8,27597,40.8,January - June
1992-07-01,1992,7,Beaver Creek,41255,31417,31.3,80112,63865,25.4,43623,83.6,January - July
1992-08-01,1992,8,Beaver Creek,33755,28840,17.0,113867,92705,22.8,59387,91.7,January - August
1972-01-01,1972,1,Beaver Creek,1274,,,1274,0,,1625,-21.6,January - January
1972-02-01,1972,2,Beaver Creek,1381,,,2655,0,,3005,-11.6,January - February
1972-03-01,1972,3,Beaver Creek,1612,,,4267,0,,5391,-20.8,January - March
1972-04-01,1972,4,Beaver Creek,2700,,,6967,0,,8868,-21.4,January - April
1972-05-01,1972,5,Beaver Creek,4141,,,11108,0,,15410,-27.9,January - May
1972-06-01,1972,6,Beaver Creek,9822,,,20930,0,,27597,-24.2,January - June
1972-07-01,1972,7,Beaver Creek,20033,,,40963,0,,43623,-6.1,January - July
1972-08-01,1972,8,Beaver Creek,16651,,,57614,0,,59387,-3.0,January - August
1972-09-01,1972,9,Beaver Creek,7964,,,65578,0,,71200,-7.9,January - September
1972-10-01,1972,10,Beaver Creek,3699,,,69277,0,,76066,-8.9,January - October
1972-11-01,1972,11,Beaver Creek,2442,,,71719,0,,78102,-8.2,January - November
1972-12-01,1972,12,Beaver Creek,2513,,,74232,0,,79644,-6.8,January - December
1972-01-01,1972,1,Dawson,0,,,0,0,,0,,January - January
1972-02-01,1972,2,Dawson,2,,,2,0,,11,-81.8,January - February
1972-03-01,1972,3,Dawson,2,,,4,0,,13,-69.2,January - March
1972-04-01,1972,4,Dawson,9,,,13,0,,21,-38.1,January - April
1972-05-01,1972,5,Dawson,0,,,13,0,,383,-96.6,January - May
1972-06-01,1972,6,Dawson,27,,,40,0,,2355,-98.3,January - June
1972-07-01,1972,7,Dawson,50,,,90,0,,4575,-98.0,January - July
1972-08-01,1972,8,Dawson,64,,,154,0,,6723,-97.7,January - August
1972-09-01,1972,9,Dawson,3,,,157,0,,6725,-97.7,January - September
1972-10-01,1972,10,Dawson,0,,,157,0,,6726,-97.7,January - October
1972-11-01,1972,11,Dawson,6,,,163,0,,6726,-97.6,January - November
1972-12-01,1972,12,Dawson,10,,,173,0,,6728,-97.4,January - December
1972-01-01,1972,1,Fraser,409,,,409,0,,1196,-65.8,January - January
1972-02-01,1972,2,Fraser,409,,,818,0,,2629,-68.9,January - February
1972-03-01,1972,3,Fraser,388,,,1206,0,,5857,-79.4,January - March
1972-04-01,1972,4,Fraser,506,,,1712,0,,10951,-84.4,January - April
1972-05-01,1972,5,Fraser,1482,,,3194,0,,58650,-94.6,January - May
1972-06-01,1972,6,Fraser,4939,,,8133,0,,136560,-94.0,January - June
1972-07-01,1972,7,Fraser,9937,,,18070,0,,225287,-92.0,January - July
1972-08-01,1972,8,Fraser,8448,,,26518,0,,308458,-91.4,January - August
1972-09-01,1972,9,Fraser,1965,,,28483,0,,355275,-92.0,January - September
1972-10-01,1972,10,Fraser,114,,,28597,0,,359395,-92.0,January - October
1972-11-01,1972,11,Fraser,165,,,28762,0,,360687,-92.0,January - November
1972-12-01,1972,12,Fraser,53,,,28815,0,,362508,-92.1,January - December
1972-01-01,1972,1,Little Gold Creek,0,,,0,0,,0,,January - January
1972-02-01,1972,2,Little Gold Creek,0,,,0,0,,0,,January - February
1972-03-01,1972,3,Little Gold Creek,0,,,0,0,,0,,January - March
1972-04-01,1972,4,Little Gold Creek,0,,,0,0,,0,,January - April
1972-05-01,1972,5,Little Gold Creek,184,,,184,0,,557,-67.0,January - May
1972-06-01,1972,6,Little Gold Creek,1188,,,1372,0,,3326,-58.7,January - June
1972-07-01,1972,7,Little Gold Creek,4239,,,5611,0,,7495,-25.1,January - July
1972-08-01,1972,8,Little Gold Creek,3568,,,9179,0,,11483,-20.1,January - August
1972-09-01,1972,9,Little Gold Creek,762,,,9941,0,,13193,-24.6,January - September
1972-10-01,1972,10,Little Gold Creek,17,,,9958,0,,13193,-24.5,January - October
1972-11-01,1972,11,Little Gold Creek,0,,,9958,0,,13193,-24.5,January - November
1972-12-01,1972,12,Little Gold Creek,0,,,9958,0,,13193,-24.5,January - December
1972-01-01,1972,1,Old Crow,3,,,3,0,,0,,January - January
1972-02-01,1972,2,Old Crow,0,,,3,0,,0,,January - February
1972-03-01,1972,3,Old Crow,7,,,10,0,,0,,January - March
1972-04-01,1972,4,Old Crow,11,,,21,0,,0,,January - April
1972-05-01,1972,5,Old Crow,15,,,36,0,,0,,January - May
1972-06-01,1972,6,Old Crow,57,,,93,0,,1,9200.0,January - June
1972-07-01,1972,7,Old Crow,49,,,142,0,,1,14100.0,January - July
1972-08-01,1972,8,Old Crow,0,,,142,0,,1,14100.0,January - August
1972-09-01,1972,9,Old Crow,15,,,157,0,,1,15600.0,January - September
1972-10-01,1972,10,Old Crow,6,,,163,0,,1,16200.0,January - October
1972-11-01,1972,11,Old Crow,0,,,163,0,,1,16200.0,January - November
1972-12-01,1972,12,Old Crow,0,,,163,0,,1,16200.0,January - December
1972-01-01,1972,1,Pleasant Camp,680,,,680,0,,1045,-34.9,January - January
1972-02-01,1972,2,Pleasant Camp,575,,,1255,0,,1755,-28.5,January - February
1972-03-01,1972,3,Pleasant Camp,983,,,2238,0,,2837,-21.1,January - March
1972-04-01,1972,4,Pleasant Camp,1244,,,3482,0,,4384,-20.6,January - April
1972-05-01,1972,5,Pleasant Camp,2751,,,6233,0,,8285,-24.8,January - May
1992-09-01,1992,9,Beaver Creek,15041,13349,12.7,128908,106054,21.5,71200,81.1,January - September
1992-10-01,1992,10,Beaver Creek,4789,5335,-10.2,133697,111389,20.0,76066,75.8,January - October
1992-11-01,1992,11,Beaver Creek,2953,2847,3.7,136650,114236,19.6,78102,75.0,January - November
1992-12-01,1992,12,Beaver Creek,2694,2697,-0.1,139344,116933,19.2,79644,75.0,January - December
1992-01-01,1992,1,Dawson,0,4,-100.0,0,4,-100.0,0,,January - January
1992-02-01,1992,2,Dawson,114,16,612.5,114,20,470.0,11,936.4,January - February
1992-03-01,1992,3,Dawson,108,86,25.6,222,106,109.4,13,1607.7,January - March
1992-04-01,1992,4,Dawson,53,50,6.0,275,156,76.3,21,1209.5,January - April
1992-05-01,1992,5,Dawson,120,223,-46.2,395,379,4.2,383,3.1,January - May
1992-06-01,1992,6,Dawson,1302,957,36.1,1697,1336,27.0,2355,-27.9,January - June
1992-07-01,1992,7,Dawson,1801,1440,25.1,3498,2776,26.0,4575,-23.5,January - July
1992-08-01,1992,8,Dawson,1319,1468,-10.1,4817,4244,13.5,6723,-28.4,January - August
1992-09-01,1992,9,Dawson,209,334,-37.4,5026,4578,9.8,6725,-25.3,January - September
1992-10-01,1992,10,Dawson,61,10,510.0,5087,4588,10.9,6726,-24.4,January - October
1992-11-01,1992,11,Dawson,124,39,217.9,5211,4627,12.6,6726,-22.5,January - November
1992-12-01,1992,12,Dawson,32,0,,5243,4627,13.3,6728,-22.1,January - December
1992-01-01,1992,1,Fraser,635,679,-6.5,635,679,-6.5,1196,-46.9,January - January
1992-02-01,1992,2,Fraser,942,807,16.7,1577,1486,6.1,2629,-40.0,January - February
1992-03-01,1992,3,Fraser,2635,2539,3.8,4212,4025,4.6,5857,-28.1,January - March
1992-04-01,1992,4,Fraser,2615,3332,-21.5,6827,7357,-7.2,10951,-37.7,January - April
1992-05-01,1992,5,Fraser,7000,6594,6.2,13827,13951,-0.9,58650,-76.4,January - May
1992-06-01,1992,6,Fraser,17315,16919,2.3,31142,30870,0.9,136560,-77.2,January - June
1992-07-01,1992,7,Fraser,27457,22941,19.7,58599,53811,8.9,225287,-74.0,January - July
1992-08-01,1992,8,Fraser,23133,18896,22.4,81732,72707,12.4,308458,-73.5,January - August
1992-09-01,1992,9,Fraser,8926,9335,-4.4,90658,82042,10.5,355275,-74.5,January - September
1992-10-01,1992,10,Fraser,1635,1762,-7.2,92293,83804,10.1,359395,-74.3,January - October
1992-11-01,1992,11,Fraser,951,805,18.1,93244,84609,10.2,360687,-74.1,January - November
1992-12-01,1992,12,Fraser,800,751,6.5,94044,85360,10.2,362508,-74.1,January - December
1992-01-01,1992,1,Little Gold Creek,0,0,,0,0,,0,,January - January
1992-02-01,1992,2,Little Gold Creek,0,0,,0,0,,0,,January - February
1992-03-01,1992,3,Little Gold Creek,0,0,,0,0,,0,,January - March
1992-04-01,1992,4,Little Gold Creek,27,10,170.0,27,10,170.0,0,,January - April
1992-05-01,1992,5,Little Gold Creek,682,587,16.2,709,597,18.8,557,27.3,January - May
1992-06-01,1992,6,Little Gold Creek,5010,3413,46.8,5719,4010,42.6,3326,71.9,January - June
1992-07-01,1992,7,Little Gold Creek,9400,6872,36.8,15119,10882,38.9,7495,101.7,January - July
1992-08-01,1992,8,Little Gold Creek,7256,5911,22.8,22375,16793,33.2,11483,94.9,January - August
1992-09-01,1992,9,Little Gold Creek,1580,1567,0.8,23955,18360,30.5,13193,81.6,January - September
1992-10-01,1992,10,Little Gold Creek,31,35,-11.4,23986,18395,30.4,13193,81.8,January - October
1992-11-01,1992,11,Little Gold Creek,0,0,,23986,18395,30.4,13193,81.8,January - November
1992-12-01,1992,12,Little Gold Creek,0,0,,23986,18395,30.4,13193,81.8,January - December
1992-01-01,1992,1,Old Crow,10,11,-9.1,10,11,-9.1,0,,January - January
1992-02-01,1992,2,Old Crow,7,0,,17,11,54.5,0,,January - February
1992-03-01,1992,3,Old Crow,21,19,10.5,38,30,26.7,0,,January - March
1992-04-01,1992,4,Old Crow,15,0,,53,30,76.7,0,,January - April
1992-05-01,1992,5,Old Crow,30,4,650.0,83,34,144.1,0,,January - May
1992-06-01,1992,6,Old Crow,82,24,241.7,165,58,184.5,1,16400.0,January - June
1992-07-01,1992,7,Old Crow,49,17,188.2,214,75,185.3,1,21300.0,January - July
1992-08-01,1992,8,Old Crow,34,59,-42.4,248,134,85.1,1,24700.0,January - August
1992-09-01,1992,9,Old Crow,35,36,-2.8,283,170,66.5,1,28200.0,January - September
1992-10-01,1992,10,Old Crow,3,3,0.0,286,173,65.3,1,28500.0,January - October
1992-11-01,1992,11,Old Crow,16,7,128.6,302,180,67.8,1,30100.0,January - November
1992-12-01,1992,12,Old Crow,2,8,-75.0,304,188,61.7,1,30300.0,January - December
1992-01-01,1992,1,Pleasant Camp,1457,1279,13.9,1457,1279,13.9,1045,39.4,January - January
1992-02-01,1992,2,Pleasant Camp,1084,1116,-2.9,2541,2395,6.1,1755,44.8,January - February
1992-03-01,1992,3,Pleasant Camp,1716,2142,-19.9,4257,4537,-6.2,2837,50.1,January - March
1992-04-01,1992,4,Pleasant Camp,2775,2428,14.3,7032,6965,1.0,4384,60.4,January - April
1992-05-01,1992,5,Pleasant Camp,3878,3865,0.3,10910,10830,0.7,8285,31.7,January - May
1992-06-01,1992,6,Pleasant Camp,6776,6464,4.8,17686,17294,2.3,14427,22.6,January - June
1992-07-01,1992,7,Pleasant Camp,11131,9860,12.9,28817,27154,6.1,22399,28.7,January - July
1992-08-01,1992,8,Pleasant Camp,9331,8963,4.1,38148,36117,5.6,29603,28.9,January - August
1992-09-01,1992,9,Pleasant Camp,3412,3757,-9.2,41560,39874,4.2,33694,23.3,January - September
1992-10-01,1992,10,Pleasant Camp,2108,2590,-18.6,43668,42464,2.8,36354,20.1,January - October
1992-11-01,1992,11,Pleasant Camp,1268,1346,-5.8,44936,43810,2.6,37387,20.2,January - November
2000-01-01,2000,1,Dawson,11,29,-62.1,11,29,-62.1,0,,January - January
2000-02-01,2000,2,Dawson,75,62,21.0,86,91,-5.5,11,681.8,January - February
2000-03-01,2000,3,Dawson,99,53,86.8,185,144,28.5,13,1323.1,January - March
2000-04-01,2000,4,Dawson,93,69,34.8,278,213,30.5,21,1223.8,January - April
2000-05-01,2000,5,Dawson,757,547,38.4,1035,760,36.2,383,170.2,January - May
2000-06-01,2000,6,Dawson,2112,1632,29.4,3147,2392,31.6,2355,33.6,January - June
2000-07-01,2000,7,Dawson,2077,2413,-13.9,5224,4805,8.7,4575,14.2,January - July
2000-08-01,2000,8,Dawson,2562,2299,11.4,7786,7104,9.6,6723,15.8,January - August
2000-09-01,2000,9,Dawson,786,614,28.0,8572,7718,11.1,6725,27.5,January - September
2000-10-01,2000,10,Dawson,61,39,56.4,8633,7757,11.3,6726,28.4,January - October
2000-11-01,2000,11,Dawson,86,61,41.0,8719,7818,11.5,6726,29.6,January - November
2000-12-01,2000,12,Dawson,105,4,2525.0,8824,7822,12.8,6728,31.2,January - December
2000-01-01,2000,1,Fraser,1079,2091,-48.4,1079,2091,-48.4,1196,-9.8,January - January
2000-02-01,2000,2,Fraser,1624,2018,-19.5,2703,4109,-34.2,2629,2.8,January - February
2000-03-01,2000,3,Fraser,2719,3158,-13.9,5422,7267,-25.4,5857,-7.4,January - March
2000-04-01,2000,4,Fraser,3762,5082,-26.0,9184,12349,-25.6,10951,-16.1,January - April
2000-05-01,2000,5,Fraser,18141,15573,16.5,27325,27922,-2.1,58650,-53.4,January - May
2000-06-01,2000,6,Fraser,34395,33733,2.0,61720,61655,0.1,136560,-54.8,January - June
2000-07-01,2000,7,Fraser,44613,47613,-6.3,106333,109268,-2.7,225287,-52.8,January - July
2000-08-01,2000,8,Fraser,39877,42042,-5.1,146210,151310,-3.4,308458,-52.6,January - August
2000-09-01,2000,9,Fraser,21193,22506,-5.8,167403,173816,-3.7,355275,-52.9,January - September
2000-10-01,2000,10,Fraser,2749,2575,6.8,170152,176391,-3.5,359395,-52.7,January - October
2000-11-01,2000,11,Fraser,1130,1242,-9.0,171282,177633,-3.6,360687,-52.5,January - November
2000-12-01,2000,12,Fraser,1134,1008,12.5,172416,178641,-3.5,362508,-52.4,January - December
2000-01-01,2000,1,Little Gold Creek,0,0,,0,0,,0,,January - January
2000-02-01,2000,2,Little Gold Creek,0,0,,0,0,,0,,January - February
2000-03-01,2000,3,Little Gold Creek,0,0,,0,0,,0,,January - March
2000-04-01,2000,4,Little Gold Creek,0,0,,0,0,,0,,January - April
2000-05-01,2000,5,Little Gold Creek,600,848,-29.2,600,848,-29.2,557,7.7,January - May
2000-06-01,2000,6,Little Gold Creek,4442,5785,-23.2,5042,6633,-24.0,3326,51.6,January - June
2000-07-01,2000,7,Little Gold Creek,10230,8990,13.8,15272,15623,-2.2,7495,103.8,January - July
2000-08-01,2000,8,Little Gold Creek,6417,6926,-7.3,21689,22549,-3.8,11483,88.9,January - August
2000-09-01,2000,9,Little Gold Creek,2026,1779,13.9,23715,24328,-2.5,13193,79.8,January - September
2000-10-01,2000,10,Little Gold Creek,165,247,-33.2,23880,24575,-2.8,13193,81.0,January - October
2000-11-01,2000,11,Little Gold Creek,0,0,,23880,24575,-2.8,13193,81.0,January - November
2000-12-01,2000,12,Little Gold Creek,0,0,,23880,24575,-2.8,13193,81.0,January - December
2000-01-01,2000,1,Old Crow,3,14,-78.6,3,14,-78.6,0,,January - January
2000-02-01,2000,2,Old Crow,6,13,-53.8,9,27,-66.7,0,,January - February
2000-03-01,2000,3,Old Crow,4,0,,13,27,-51.9,0,,January - March
2000-04-01,2000,4,Old Crow,9,2,350.0,22,29,-24.1,0,,January - April
2000-05-01,2000,5,Old Crow,7,2,250.0,29,31,-6.5,0,,January - May
2000-06-01,2000,6,Old Crow,5,53,-90.6,34,84,-59.5,1,3300.0,January - June
2000-07-01,2000,7,Old Crow,36,5,620.0,70,89,-21.3,1,6900.0,January - July
